kind,reward_base,discount_rate,discount_horizon,eta,settling_tolerance,settle_threshold,settled_fraction,settling_p10,settling_p50,settling_p90,saturated_fraction,mean_reward,tail_reward,lqr_edge_reward_raw,ceiling_raw,lqr_mean_reward,tube_mean_reward,lqr_reward_exceeds_tube
r3,lyapunov,0.5,2.0,0.58,0.01,4.605170185988091,1.0,3.0839999999997714,3.1264999999997665,3.331999999999744,0.12018305334733263,6.358637403494571,7.518121975116937,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.846394590731639,True
r3,lyapunov,0.5,2.0,0.6,0.01,4.605170185988091,1.0,3.061999999999774,3.1054999999997692,3.316899999999746,0.12628274836258188,6.399248228315746,7.533800717085413,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.863768235432441,True
r3,lyapunov,0.5,2.0,0.62,0.01,4.605170185988091,1.0,3.043099999999776,3.086999999999771,3.3009999999997475,0.1330730338483076,6.438902756415464,7.549751595603506,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.881506989248354,True
r3,lyapunov,0.5,2.0,0.64,0.01,4.605170185988091,1.0,3.027099999999778,3.071499999999773,3.2868999999997492,0.137955602219889,6.477859634902137,7.565984433372937,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.89951918239285,True
r3,lyapunov,0.5,2.0,0.66,0.01,4.605170185988091,1.0,3.013999999999779,3.0579999999997742,3.2738999999997507,0.14410216989150543,6.516199477860573,7.582509606962307,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.917873054759982,True
r3,lyapunov,0.5,2.0,0.68,0.01,4.605170185988091,1.0,3.0019999999997804,3.0459999999997756,3.260899999999752,0.14985656967151642,6.554011307648581,7.59933809023197,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.936593284408708,True
r3,lyapunov,0.5,2.0,0.7000000000000001,0.01,4.605170185988091,1.0,2.991099999999782,3.035499999999777,3.2488999999997534,0.15618125343732814,6.590418204778351,7.616481502201763,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.955700213492723,True
r3,lyapunov,0.5,2.0,0.72,0.01,4.605170185988091,1.0,2.9819999999997826,3.0259999999997778,3.2378999999997546,0.1613138093095345,6.624572378920771,7.633952159931471,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.974616575459362,True
r3,lyapunov,0.5,2.0,0.74,0.01,4.605170185988091,1.0,2.973099999999784,3.017499999999779,3.2278999999997557,0.16567921603919805,6.657637847043243,7.651763137073067,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.993712234380162,True
r3,lyapunov,0.5,2.0,0.76,0.01,4.605170185988091,1.0,2.9659999999997844,3.0099999999997795,3.2188999999997567,0.1702602369881506,6.6899810784425195,7.669928328859666,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.013027061415334,True
r3,lyapunov,0.5,2.0,0.78,0.01,4.605170185988091,1.0,2.9579999999997852,3.00249999999978,3.2098999999997577,0.17621150192490376,6.721667629533075,7.688462524422191,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.032274852997421,True
r3,lyapunov,0.5,2.0,0.8,0.01,4.605170185988091,1.0,2.951999999999786,2.995999999999781,3.2018999999997586,0.18131749662516874,6.752779891580442,7.7073814874760505,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.05128507327663,True
r3,lyapunov,0.5,2.0,0.8200000000000001,0.01,4.605170185988091,1.0,2.9449999999997867,2.9899999999997817,3.1948999999997594,0.18519542772861358,6.783514962198505,7.726702046601869,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.070189852168971,True
r3,lyapunov,0.5,2.0,0.84,0.01,4.605170185988091,1.0,2.9390999999997875,2.9839999999997824,3.18789999999976,0.18834839508024598,6.814100772554281,7.746442196564638,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.089382376016713,True
r3,lyapunov,0.5,2.0,0.86,0.01,4.605170185988091,1.0,2.933999999999788,2.9784999999997828,3.181899999999761,0.19141699165041748,6.844675459093114,7.766605035574712,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.108902630194587,True
r3,lyapunov,0.5,2.0,0.88,0.01,4.605170185988091,1.0,2.9280999999997888,2.9734999999997838,3.1758999999997615,0.19430590970451478,6.8752968247784025,7.787172539073755,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.128770193370782,True
r3,lyapunov,0.5,2.0,0.9,0.01,4.605170185988091,1.0,2.922999999999789,2.968499999999784,3.169899999999762,0.19711826908654567,6.9062108835952944,7.808188657754743,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.149016852677898,True
r3,lyapunov,0.5,2.0,0.92,0.01,4.605170185988091,1.0,2.91809999999979,2.963499999999785,3.1648999999997627,0.2002196765161742,6.937214845805546,7.829683470489842,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.169669685431355,True
r3,lyapunov,0.5,2.0,0.9400000000000001,0.01,4.605170185988091,1.0,2.91399999999979,2.958999999999785,3.1598999999997632,0.20343514074296284,6.968427520739028,7.851666225171457,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.190747451532534,True
r3,lyapunov,0.5,2.0,0.96,0.01,4.605170185988091,1.0,2.9089999999997906,2.9544999999997854,3.154899999999764,0.20664279286035697,6.999700515059089,7.8741315747836085,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.212255312520679,True
r3,lyapunov,0.5,2.0,0.98,0.01,4.605170185988091,1.0,2.904999999999791,2.950499999999786,3.1508999999997642,0.20922235138243087,7.0311666176070755,7.897133093784624,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.234234317960507,True
r3,lyapunov,0.5,2.0,1.0,0.01,4.605170185988091,1.0,2.9009999999997915,2.9464999999997863,3.1468999999997647,0.2120440852957352,7.062957015668459,7.920708976419098,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.256719465896094,True
r3,lyapunov,0.5,2.0,1.02,0.01,4.605170185988091,1.0,2.8960999999997923,2.9424999999997867,3.141999999999765,0.2152111144442778,7.095145011652214,7.944873987325829,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.279692726409497,True
r3,lyapunov,0.5,2.0,1.04,0.01,4.605170185988091,1.0,2.8919999999997925,2.938499999999787,3.1388999999997655,0.21858438328083596,7.12785944857557,7.969639427776081,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.303173437230937,True
r3,lyapunov,0.5,2.0,1.06,0.01,4.605170185988091,1.0,2.888099999999793,2.9344999999997876,3.134899999999766,0.22161079446027698,7.160919440941173,7.994987903460355,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.327202290955055,True
r3,lyapunov,0.5,2.0,1.08,0.01,4.605170185988091,1.0,2.8840999999997936,2.930499999999788,3.1308999999997664,0.22497625118744063,7.194583973305248,8.020984430201974,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.351814708565703,True
r3,lyapunov,0.5,2.0,1.1,0.01,4.605170185988091,1.0,2.8809999999997937,2.927499999999789,3.1278999999997668,0.22866669166541673,7.228681217422411,8.047687006791659,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.377020586668179,True
r3,lyapunov,0.5,2.0,1.12,0.01,4.605170185988091,1.0,2.876999999999794,2.9234999999997893,3.123899999999767,0.23224307534623267,7.263314640144198,8.075151000424723,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.402843169356483,True
r3,lyapunov,0.5,2.0,1.1400000000000001,0.01,4.605170185988091,1.0,2.8729999999997946,2.920499999999789,3.1208999999997675,0.2361694415279236,7.298596359429381,8.103394449046895,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.429284124650502,True
r3,lyapunov,0.5,2.0,1.16,0.01,4.605170185988091,1.0,2.869999999999795,2.9164999999997896,3.117899999999768,0.2402723613819309,7.334605279448688,8.132327565105701,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.456352088246339,True
r3,lyapunov,0.5,2.0,1.18,0.01,4.605170185988091,1.0,2.8659999999997954,2.9134999999997904,3.114899999999768,0.24451902404879755,7.371482516222846,8.162044949177218,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.484095104690107,True
r3,lyapunov,0.5,2.0,1.2,0.01,4.605170185988091,1.0,2.8629999999997957,2.9099999999997905,3.1109999999997684,0.24907660866956652,7.409325192113178,8.192648257509417,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.512516300131876,True
r3,lyapunov,0.5,2.0,1.22,0.01,4.605170185988091,1.0,2.858999999999796,2.9064999999997907,3.108899999999769,0.2534123293835308,7.448274614997274,8.224135358394992,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,8.54168243884394,True
