fork,seed,fork_step,branch,rng,step,ret,guard_clamp_frac,guard_cap_frac,guard_nonfinite_frac,guard_delta_med,guard_delta_mad
seed11_at356k,11,355856,guarded_k3,202,465857,910.6,0.152344,0.0,0.0,-0.002921,0.047701
seed11_at356k,11,355856,guarded_k3,303,355857,422.43,0.222656,0.0,0.0,-0.001379,0.046015
seed11_at356k,11,355856,guarded_k3,303,365857,879.11,0.230469,0.0,0.0,-0.000258,0.053462
seed11_at356k,11,355856,guarded_k3,303,375857,810.33,0.152344,0.0,0.0,0.000496,0.04365
seed11_at356k,11,355856,guarded_k3,303,385857,931.23,0.191406,0.0,0.0,0.001121,0.043779
seed11_at356k,11,355856,guarded_k3,303,395857,685.92,0.175781,0.0,0.0,0.000605,0.04846
seed11_at356k,11,355856,guarded_k3,303,405857,759.87,0.164062,0.0,0.0,0.003188,0.037072
seed11_at356k,11,355856,guarded_k3,303,415857,517.96,0.167969,0.0,0.0,0.000893,0.049069
seed11_at356k,11,355856,guarded_k3,303,425857,1430.29,0.1875,0.0,0.0,0.000467,0.054645
seed11_at356k,11,355856,guarded_k3,303,435857,942.03,0.15625,0.0,0.0,-8.2e-05,0.03799
seed11_at356k,11,355856,guarded_k3,303,445857,857.74,0.175781,0.0,0.0,0.00411,0.041458
seed11_at356k,11,355856,guarded_k3,303,455857,904.81,0.203125,0.0,0.0,0.000356,0.044936
seed11_at356k,11,355856,guarded_k3,303,465857,905.19,0.164062,0.0,0.0,0.000663,0.046431
