seed,final_return,gen_data_rmse,gen_data_corr,gen_data_nrmse,gen_data_bias,gen_data_p95,gen_pi_rmse,gen_pi_corr,gen_pi_nrmse,gen_pi_bias,gen_pi_p95,gen_err_vs_action_novelty_corr,quad_rmse,quad_corr,quad_nrmse,quad_bias,quad_sign_disagree_frac,quad_p95,quad_endpoint_state_nrmse
0,1690.5495851774078,0.2625352896377385,0.9915133573356403,0.13323296276204344,-0.09089161887061024,0.520613817422543,0.25524598844714524,0.9924644533713819,0.1285207453540029,-0.08625340017131816,0.4971223845053851,0.1946270839394022,0.0023198567177510525,0.9944158792495728,0.1324993039808732,-0.0010120534896850585,0.065,0.004457855224609373,0.08182645508924233
1,88.18244885241856,1093.0337162933888,0.7739095690709189,0.6609972125332727,120.41359501781233,2404.6824442448146,1108.5725760526536,0.7630739932915479,0.6767362842257652,116.06533664946966,2630.9140937889415,-0.12305913468386602,7.888168561509791,0.8270143866539001,0.5817138413006476,0.760977783203125,0.11375,21.57707519531249,0.5260080712948498
2,1635.5480656705847,0.47576844605687707,0.990454501917717,0.13816088459131662,-0.0795818070121382,1.0785053284432815,0.49368002817516576,0.9907331485210219,0.13631449578253826,-0.0694751123331282,1.0688813295008666,0.2956420148888163,0.005066284231437825,0.9903950095176697,0.1392873549708499,-0.0007456350326538086,0.02375,0.010888099670410156,0.034906325190554685
3,900.5902791552746,8.49360061740216,0.9584705584614543,0.2905091747934301,-0.3015468212592161,12.43960939411264,8.809012636238453,0.9552596826109178,0.30059644187606044,-0.05995635034971258,12.349976831938896,0.070236524783258,0.07856395876054577,0.9628916382789612,0.27378615763434644,-0.0007944321632385254,0.04625,0.12263317108154291,0.26188942326926534
4,1409.7938723693794,3.0504009350779424,0.9958974067704152,0.10568815653527176,-1.0200932407071563,6.259122008243643,3.0112247993894505,0.9959721413304327,0.10359203951253279,-0.9767359540007092,6.166859042125744,-0.27556685005682774,0.030699292293779636,0.9957665205001831,0.10608979510015608,-0.010464084446430206,0.0375,0.0637960910797119,0.08600463735924005
5,518.9765750979574,4.554355231424572,0.9858071238732578,0.16854828392051574,0.012230576547059897,7.536473304958451,4.525465347643229,0.9857667049591146,0.1685301388690884,-0.06524085133877243,7.704073150499684,-0.14216926836944097,0.03262234526217768,0.9925276041030884,0.12225813880868631,0.00030112043023109434,0.04125,0.06886763572692862,0.26270193585234974
6,1703.0194614495751,8.402289315459326,0.9606608620344245,0.28391020350930135,1.6755832791677505,18.343926446894294,8.48568260864953,0.9599270257004118,0.28655351927250106,1.6903147379863952,17.87226448927375,-0.0577238428055925,0.08232229458564055,0.9612603187561035,0.2819114584282382,0.0161383718252182,0.0525,0.16474595069885237,0.28024929419099137
7,1570.6406808037289,5.7518376864726095,0.9610388910159132,0.2773988329691597,-0.24295624756867581,12.204589922653222,5.701696013359013,0.9611616314143289,0.277111241242352,-0.21509215397446924,12.601812790656016,-0.13279384895518967,0.05235705329816273,0.9673700332641602,0.25565342442413846,-0.0019558942317962646,0.0325,0.11394720077514628,0.27630002883309224
8,1258.99928594509,4.825820057492294,0.9447477136935937,0.33750975006895556,0.25864577300419894,5.405959841058676,4.651109937421674,0.949989849787541,0.32340663492636773,0.2558393608471679,5.289050974970045,-0.08362432594072222,0.05683118030152217,0.9312252998352051,0.3683298705460208,0.0023388880491256713,0.04875,0.05218570232391346,0.37899685077677847
9,997.6279623689959,8.680555732432856,0.9516461766843598,0.31000173894366456,-0.6680972065459022,10.42314978738245,8.706415394648742,0.9511020551302327,0.31130231260203894,-0.6644876098798139,10.185334347878706,-0.12998284717345535,0.08929139667567931,0.9465926289558411,0.32458570760049976,-0.007923803925514221,0.0225,0.09959163665771484,0.2479382108359223
10,776.3907092682276,0.8006439950788555,0.9913013691616643,0.203100141157775,-0.44291784374826654,1.5561157875040443,0.7822795083577463,0.9916364504824776,0.19972819249223275,-0.43768552370132197,1.5050528647078485,0.10007655823325509,0.00797768012184308,0.9908627867698669,0.20746973394225382,-0.004754743576049805,0.06,0.015489006042480467,0.07367086095564016
11,636.8360017957082,787.6933987173799,0.09476973937211838,12.856889930760278,363.3173188165681,1729.8752871851834,787.5775940046672,0.09253405658940471,12.905800312530058,363.0891154029616,1727.7070707911341,-0.3741821977386467,5.903608926660631,0.08547006547451019,9.83621464036118,2.3671648213267327,0.2025,13.799554443359371,0.5540809368684491
