seed,step,distribution,n,n_nonterminal,terminal_frac,gate_batch_size,gate_chunks,fd_anchor_nonfinite_frac,fd_anchor_nonfinite_nonterminal_frac,oracle_increment_nonfinite_frac,eps_quad_nonfinite_frac,eps_quad_finite_n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_nonfinite_frac,eps_re_finite_n,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_nonfinite_frac,eps_gate_finite_n,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_nonfinite_frac,eps_fd_finite_n,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_nonfinite_frac,rho_med,rho_p95,innovation_rho_med,mismatch_fraction_mean,innovation_valid_frac,lambda_mean,gate_fallback_frac,gate_fallback_nonterminal_frac,reanchor_nonfinite_frac,reanchor_nonfinite_nonterminal_frac,transport_seconds_mean,model_seconds_mean,long_frac
1,239957,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,4.2874,-0.0274,9.9093,17.1782,0.197,0.0,1999,3.2133,0.0,7.2634,13.1015,0.1477,0.0,1999,3.3045,0.0367,7.6058,13.3357,0.1519,0.0,1999,15.0288,0.9869,33.6061,64.7568,0.6907,0.0,0.0845,0.1925,0.1085,0.784827,1.0,0.9799,0.0,0.0,0.0,0.0,0.008191,0.012911,0.099
1,239957,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,46.9152,0.4714,67.3926,118.9925,0.386,0.0,1999,34.7124,0.5413,53.6849,99.7043,0.2856,0.0,1999,69.2721,3.9878,37.6209,99.85,0.5699,0.0,1999,70.9574,3.0993,35.0907,182.6571,0.5838,0.0,0.1501,0.694,0.1923,0.781369,0.9980000257492065,0.8862,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,269442,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,5.2446,-0.197,12.0067,18.4454,0.2128,0.0,1999,3.9957,-0.1023,9.4455,14.6287,0.1621,0.0,1999,3.9904,-0.0462,9.1089,14.7049,0.1619,0.0,1999,15.0279,1.0015,33.3454,66.6033,0.6098,0.0,0.0909,0.1966,0.1168,0.781137,0.9990000128746033,0.9787,0.0,0.0,0.0,0.0,0.008198,0.013241,0.111
1,269442,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,33.924,-1.2119,53.39,100.7705,0.388,0.0,1999,26.6305,-0.6006,37.6527,75.85,0.3046,0.0,1999,49.6805,1.6893,31.1164,82.1639,0.5682,0.0,1999,50.7949,1.7115,34.3805,134.2236,0.5809,0.0,0.1603,0.7134,0.2077,0.781369,0.9980000257492065,0.8756,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,298945,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,5.6914,1.0107,12.1579,24.2115,0.339,0.0,1999,4.4126,0.7164,9.105,20.6189,0.2629,0.0,1999,3.9428,0.2807,6.001,9.818,0.2349,0.0,1999,11.6153,0.6825,25.3015,50.1862,0.6919,0.0,0.0956,1.0987,0.122,0.782174,0.9990000128746033,0.9107,0.0,0.0,0.0,0.0,0.008193,0.013107,0.1065
1,298945,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,28.6079,0.0011,48.407,81.6048,0.3593,0.0,1999,24.3136,0.0561,35.7604,64.9807,0.3054,0.0,1999,40.8623,1.0395,28.4328,77.9682,0.5132,0.0,1999,43.3404,0.2856,26.6699,167.0311,0.5444,0.0,0.1602,0.7423,0.2092,0.781369,0.9980000257492065,0.8684,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,328272,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,3.4417,0.1446,6.9082,13.4754,0.2295,0.0,1999,2.6674,0.1336,5.1296,10.8199,0.1779,0.0,1999,2.7595,0.1749,5.4371,10.4315,0.184,0.0,1999,9.7008,0.6263,21.4122,38.7459,0.6469,0.0,0.1051,0.2285,0.1333,0.783506,0.9994999766349792,0.9705,0.0,0.0,0.0,0.0,0.008194,0.012975,0.1025
1,328272,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,23.237,0.6607,38.6146,61.2039,0.3391,0.0,1999,19.5664,0.5505,30.343,48.1149,0.2855,0.0,1999,45.866,1.1679,24.4959,53.5458,0.6692,0.0,1999,49.7526,0.0223,28.12,154.5444,0.7259,0.0,0.1639,0.7155,0.2131,0.781369,0.9980000257492065,0.8751,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,358020,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,2.9542,0.5312,5.9931,11.7217,0.2145,0.0,1999,2.3168,0.3996,4.654,9.0299,0.1682,0.0,1999,2.4598,0.3088,4.2756,7.4966,0.1786,0.0,1999,10.3857,0.4564,21.1466,43.8232,0.754,0.0,0.0646,0.1503,0.0823,0.783306,0.9990000128746033,0.9765,0.0,0.0,0.0,0.0,0.008205,0.013232,0.1095
1,358020,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,30.7391,-0.5233,43.6653,58.351,0.4297,0.0,1999,25.8812,-0.4079,34.5588,47.3756,0.3618,0.0,1999,64.8966,-0.787,27.1243,114.0669,0.9073,0.0,1999,67.0582,-0.6582,28.7529,165.7275,0.9375,0.0,0.1594,0.7733,0.2066,0.781369,0.9980000257492065,0.8611,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,387737,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,7.1512,-0.2432,10.3871,24.5238,0.4054,0.0,1999,5.5989,-0.1333,8.2514,19.8747,0.3174,0.0,1999,6.0737,0.0619,6.9226,17.9248,0.3443,0.0,1999,11.5136,0.6164,22.4112,48.6189,0.6528,0.0,0.0856,0.7248,0.1111,0.781142,0.996999979019165,0.9237,0.0,0.0,0.0,0.0,0.008194,0.013214,0.1105
1,387737,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,34.5395,-0.5338,41.107,73.7875,0.4576,0.0,1999,29.6841,-0.4891,31.1406,59.2417,0.3933,0.0,1999,64.687,-1.2443,26.9064,70.3391,0.857,0.0,1999,66.8082,-1.4272,29.2457,157.776,0.8851,0.0,0.1606,0.7764,0.2053,0.781369,0.9980000257492065,0.8606,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
