mode,label,seed,step,ret
fork_guarded,learned+guard,2,220000,0.3822
fork_guarded,learned+guard,2,230000,11.4024
fork_guarded,learned+guard,2,240000,26.8633
fork_guarded,learned+guard,2,250000,0.1521
fork_guarded,learned+guard,2,260000,9.3959
fork_guarded,learned+guard,2,270000,19.6917
fork_guarded,learned+guard,2,280000,10.4028
fork_guarded,learned+guard,2,290000,14.761
fork_guarded,learned+guard,2,300000,25.9589
fork_guarded,learned+guard,2,310000,15.7691
fork_guarded,learned+guard,2,320000,1.302
fork_guarded,learned+guard,2,330000,4.3491
fork_guarded,learned+guard,2,340000,27.9431
fork_guarded,learned+guard,2,350000,4.7438
fork_guarded,learned+guard,2,360000,4.7028
fork_guarded,learned+guard,2,370000,23.0927
fork_guarded,learned+guard,2,380000,10.2827
fork_guarded,learned+guard,2,390000,0.3596
fork_guarded,learned+guard,2,400000,6.5816
fork_guarded,learned+guard,2,410000,21.2039
fork_guarded,learned+guard,2,420000,17.2957
fork_guarded,learned+guard,2,430000,7.2135
fork_guarded,learned+guard,2,440000,25.0683
fork_guarded,learned+guard,2,450000,4.0688
fork_guarded,learned+guard,2,460000,4.4889
fork_guarded,learned+guard,2,470000,35.0231
fork_guarded,learned+guard,2,480000,23.7141
fork_guarded,learned+guard,2,490000,5.8945
fork_guarded,learned+guard,2,500000,5.9071
fork_guarded,learned+guard,3,10000,3.4677
fork_guarded,learned+guard,3,20000,16.2771
fork_guarded,learned+guard,3,30000,5.4968
fork_guarded,learned+guard,3,40000,0.8264
fork_guarded,learned+guard,3,50000,20.3303
fork_guarded,learned+guard,3,60000,9.9428
fork_guarded,learned+guard,3,70000,6.0598
fork_guarded,learned+guard,3,80000,4.2476
fork_guarded,learned+guard,3,90000,12.8685
fork_guarded,learned+guard,3,100000,6.6662
fork_guarded,learned+guard,3,110000,5.719
fork_guarded,learned+guard,3,120000,21.4236
fork_guarded,learned+guard,3,130000,3.6284
fork_guarded,learned+guard,3,140000,2.2383
fork_guarded,learned+guard,3,150000,4.3591
fork_guarded,learned+guard,3,160000,11.2789
fork_guarded,learned+guard,3,170000,4.648
fork_guarded,learned+guard,3,180000,9.7349
fork_guarded,learned+guard,3,190000,10.3936
fork_guarded,learned+guard,3,200000,6.0449
fork_guarded,learned+guard,3,210000,4.358
fork_guarded,learned+guard,3,220000,9.1548
fork_guarded,learned+guard,3,230000,8.5531
fork_guarded,learned+guard,3,240000,3.6264
fork_guarded,learned+guard,3,250000,13.2751
fork_guarded,learned+guard,3,260000,5.9069
fork_guarded,learned+guard,3,270000,2.2359
fork_guarded,learned+guard,3,280000,30.2191
fork_guarded,learned+guard,3,290000,7.9484
fork_guarded,learned+guard,3,300000,6.9924
fork_guarded,learned+guard,3,310000,4.2355
fork_guarded,learned+guard,3,320000,12.3853
fork_guarded,learned+guard,3,330000,4.4363
