env_id,algo,mode,seed,max_stage,final_stage,best_probe_success,num_stages
acrobot-swingup-v6.1,ct_sac,oracle_a0p5,4,0,0,0.0,6
acrobot-swingup-v6.1,ct_sac,oracle_a0p5,5,0,0,0.0,6
acrobot-swingup-v6.1,ct_sac,oracle_a2p0,0,0,0,0.0,6
acrobot-swingup-v6.1,ct_sac,oracle_a2p0,1,0,0,0.0,6
acrobot-swingup-v6.1,ct_sac,oracle_a2p0,2,0,0,0.0,6
acrobot-swingup-v6.1,ct_sac,oracle_a2p0,3,0,0,0.0,6
acrobot-swingup-v6.1,ct_sac,oracle_a2p0,4,0,0,0.0,6
acrobot-swingup-v6.1,ct_sac,oracle_a2p0,5,0,0,0.0,6
acrobot-swingup-v6.1,ct_td3,final_mf,0,0,0,0.0,6
acrobot-swingup-v6.1,ct_td3,final_mf,1,0,0,0.0,6
acrobot-swingup-v6.1,ct_td3,final_mf,2,0,0,0.0,6
acrobot-swingup-v6.1,ct_td3,final_mf,3,0,0,0.0,6
acrobot-swingup-v6.1,ct_td3,final_mf,4,0,0,0.0,6
acrobot-swingup-v6.1,ct_td3,final_mf,5,0,0,0.0,6
acrobot-swingup-v6.1,ppo,final_mf,0,0,0,0.0,6
acrobot-swingup-v6.1,ppo,final_mf,1,0,0,0.0,6
acrobot-swingup-v6.1,ppo,final_mf,2,0,0,0.0,6
acrobot-swingup-v6.1,ppo,final_mf,3,0,0,0.0,6
acrobot-swingup-v6.1,ppo,final_mf,4,0,0,0.0,6
acrobot-swingup-v6.1,ppo,final_mf,5,0,0,0.0,6
acrobot-swingup-v6.1,sac,final_mf,0,0,0,0.0,6
acrobot-swingup-v6.1,sac,final_mf,1,0,0,0.0,6
acrobot-swingup-v6.1,sac,final_mf,2,0,0,0.0,6
acrobot-swingup-v6.1,sac,final_mf,3,0,0,0.0,6
acrobot-swingup-v6.1,sac,final_mf,4,0,0,0.0,6
acrobot-swingup-v6.1,sac,final_mf,5,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_mf,0,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_mf,1,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_mf,2,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_mf,3,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_mf,4,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_mf,5,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_oracle_rollout,0,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_oracle_rollout,1,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_oracle_rollout,2,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_oracle_rollout,3,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_oracle_rollout,4,0,0,0.0,6
cartpole-two_poles-v2,ct_sac,final_oracle_rollout,5,0,0,0.0,6
cartpole-two_poles-v2,ct_td3,final_mf,0,0,0,0.0,6
cartpole-two_poles-v2,ct_td3,final_mf,1,0,0,0.0,6
cartpole-two_poles-v2,ct_td3,final_mf,2,0,0,0.0,6
cartpole-two_poles-v2,ct_td3,final_mf,3,0,0,0.0,6
cartpole-two_poles-v2,ct_td3,final_mf,4,0,0,0.0,6
