seed,step,distribution,n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_med,rho_p95,lambda_mean,model_seconds_mean
3,100000,onpolicy,2000,0.1574,-0.0143,0.307,0.6704,0.6046,0.1213,-0.0084,0.2305,0.4711,0.466,0.0409,0.0004,0.0777,0.124,0.1571,0.0372,0.0035,0.0687,0.1491,0.1431,0.4701,1.3166,0.4596,0.008224
3,100000,ou,2000,0.1672,-0.0233,0.2436,0.8884,0.6992,0.1282,-0.0184,0.1853,0.7062,0.5361,0.0758,-0.0071,0.0782,0.2607,0.3169,0.0742,-0.0005,0.0666,0.2607,0.3101,0.2199,0.8438,0.6948,0.008193
3,124221,onpolicy,2000,0.1243,-0.009,0.2789,0.4055,0.4469,0.094,-0.0067,0.2155,0.3183,0.3381,0.0394,0.0019,0.0847,0.1185,0.1417,0.0318,0.003,0.0686,0.1252,0.1143,0.3536,1.1712,0.5504,0.008196
3,124221,ou,2000,0.1526,-0.0346,0.2433,0.8297,0.6811,0.1207,-0.0265,0.1833,0.6567,0.5384,0.0716,-0.0086,0.0812,0.2053,0.3195,0.0685,0.0003,0.0708,0.1941,0.3057,0.2511,0.7616,0.6748,0.008193
3,150858,onpolicy,2000,0.1396,0.0387,0.2676,0.4744,0.7291,0.1046,0.0292,0.2118,0.3535,0.5461,0.046,0.0119,0.0765,0.1705,0.24,0.0336,0.0008,0.0451,0.1227,0.1754,0.3794,0.8671,0.5438,0.008186
3,150858,ou,2000,0.1344,-0.0291,0.1997,0.6009,0.5594,0.1051,-0.0219,0.1611,0.5194,0.4375,0.0775,-0.0068,0.081,0.2311,0.3225,0.0765,0.0004,0.0812,0.2339,0.3184,0.2523,0.7362,0.6759,0.008193
3,177959,onpolicy,2000,0.1293,0.0486,0.2807,0.4014,0.7381,0.0984,0.0357,0.2209,0.3148,0.5614,0.0419,0.0139,0.0729,0.1695,0.2392,0.0241,0.0008,0.0425,0.1057,0.1376,0.3578,0.8644,0.5597,0.008191
3,177959,ou,2000,0.1284,-0.0137,0.1598,0.58,0.5096,0.0994,-0.0103,0.1252,0.4493,0.3945,0.0838,-0.001,0.0799,0.1828,0.3326,0.0848,0.0,0.0882,0.1966,0.3366,0.2431,0.6813,0.6785,0.008193
3,207864,onpolicy,2000,0.1332,-0.0074,0.2891,0.5609,0.583,0.1012,-0.0059,0.2229,0.4303,0.4428,0.0489,-0.0042,0.1145,0.1706,0.2142,0.0328,0.0002,0.0654,0.1242,0.1436,0.2565,0.8591,0.6502,0.008195
3,207864,ou,2000,0.1036,-0.011,0.2115,0.4277,0.52,0.0802,-0.0082,0.1601,0.3371,0.4026,0.0624,-0.0002,0.0935,0.2246,0.3136,0.0599,0.0022,0.0773,0.2252,0.3008,0.2662,0.7095,0.6635,0.008193
3,237719,onpolicy,2000,0.0582,-0.0049,0.1253,0.1973,0.2414,0.0435,-0.0031,0.0965,0.1535,0.1803,0.0357,-0.0024,0.067,0.1004,0.1482,0.0405,0.003,0.074,0.1669,0.168,0.1527,0.4714,0.8386,0.008205
3,237719,ou,2000,0.0516,-0.0056,0.1106,0.2093,0.3155,0.0399,-0.0038,0.0842,0.1687,0.244,0.0459,-0.0011,0.0484,0.1152,0.2808,0.0511,0.0007,0.0742,0.1772,0.3123,0.1225,0.748,0.7731,0.008193
3,267590,onpolicy,2000,0.0837,-0.003,0.1866,0.3215,0.2935,0.0611,-0.0012,0.1372,0.2501,0.2141,0.0444,0.0005,0.0965,0.1643,0.1555,0.0437,0.0033,0.0829,0.1874,0.1533,0.1919,0.509,0.7869,0.008216
3,267590,ou,2000,0.0667,-0.009,0.1602,0.2448,0.4345,0.051,-0.0066,0.1175,0.196,0.3324,0.0667,-0.0001,0.0596,0.16,0.4348,0.0701,0.0021,0.078,0.2044,0.457,0.1256,0.7281,0.7795,0.008193
3,297487,onpolicy,2000,0.0677,-0.0167,0.1523,0.2675,0.2527,0.0528,-0.0124,0.1161,0.2135,0.1971,0.0423,-0.0096,0.082,0.138,0.1579,0.0468,0.0022,0.0903,0.1736,0.1746,0.1282,0.3961,0.8743,0.008208
3,297487,ou,2000,0.0897,-0.0064,0.2033,0.3972,0.5189,0.0699,-0.0041,0.1473,0.3168,0.404,0.0529,-0.0046,0.0651,0.1676,0.3062,0.0567,-0.001,0.0799,0.178,0.328,0.1098,0.8228,0.7656,0.008193
3,327174,onpolicy,2000,0.0985,-0.0058,0.1324,0.2673,0.3326,0.0729,-0.0043,0.1033,0.1797,0.246,0.0799,-0.0032,0.0791,0.2099,0.2698,0.0828,0.0017,0.0995,0.244,0.2794,0.1485,0.6935,0.8199,0.008196
3,327174,ou,2000,0.0843,-0.0228,0.1683,0.2181,0.4681,0.0649,-0.0168,0.134,0.1731,0.3601,0.0673,-0.0082,0.0572,0.1723,0.3739,0.0705,-0.0007,0.0796,0.1866,0.3912,0.1062,0.8463,0.7508,0.008193
3,356717,onpolicy,2000,0.0769,0.0027,0.1314,0.1923,0.2258,0.0568,0.0018,0.0993,0.1489,0.1667,0.0365,0.0049,0.0789,0.1235,0.1072,0.0394,0.0035,0.083,0.1718,0.1157,0.1239,0.3186,0.8906,0.008197
3,356717,ou,2000,0.1041,-0.0233,0.225,0.3374,0.5099,0.0811,-0.0172,0.177,0.2705,0.3972,0.0924,-0.0092,0.0621,0.2385,0.4527,0.0947,-0.0012,0.079,0.2385,0.4638,0.1063,0.8539,0.7497,0.008193
3,386418,onpolicy,2000,0.1046,-0.0264,0.1889,0.304,0.3356,0.0792,-0.0192,0.1424,0.2334,0.254,0.0696,-0.0138,0.107,0.2533,0.2233,0.0763,0.007,0.1399,0.3475,0.2448,0.1601,0.5554,0.8334,0.008182
3,386418,ou,2000,0.1001,-0.0306,0.2264,0.3416,0.5086,0.077,-0.0223,0.1716,0.2654,0.391,0.0655,-0.0072,0.0601,0.2205,0.3328,0.0704,0.0022,0.0875,0.2373,0.3576,0.113,0.8763,0.7307,0.008193
5,100000,onpolicy,2000,0.1126,-0.0367,0.1778,0.447,0.4462,0.0891,-0.0263,0.1415,0.3623,0.353,0.0781,-0.0126,0.0776,0.1732,0.3097,0.087,-0.0002,0.0993,0.3102,0.345,0.3484,0.756,0.6004,0.008202
5,100000,ou,2000,0.1241,-0.0225,0.2492,0.4544,0.3906,0.095,-0.0165,0.1776,0.3636,0.2989,0.1065,-0.0051,0.0966,0.3197,0.3351,0.1293,0.0022,0.193,0.4461,0.407,0.0928,0.8664,0.7823,0.008193
