seed,distribution,checkpoint_step,direct_return,direct_return_std,logged_final_return,n_states,eps_T_rms,eps_T_bias,eps_T_p95,eps_T_p99,rel_eps_T_over_dVoracle,dV_sign_err_frac,dV_spearman,target_spearman,rms_target_learned,rms_target_oracle,L_minus_O_tgt_rms,L_minus_O_tgt_bias,L_minus_O_tgt_p95,L_minus_O_tgt_p99,Q0_vs_learned_rms,Q0_vs_learned_bias,Q0_vs_learned_p95,Q0_vs_learned_p99,Q1_vs_learned_rms,Q1_vs_learned_bias,Q1_vs_learned_p95,Q1_vs_learned_p99,Q0_vs_oracle_rms,Q0_vs_oracle_bias,Q0_vs_oracle_p95,Q0_vs_oracle_p99,Q1_vs_oracle_rms,Q1_vs_oracle_bias,Q1_vs_oracle_p95,Q1_vs_oracle_p99,action_gap_rms,action_gap_p95,abs_eps_vs_gap_corr
3,ou,495479,1450.12,86.77,900.59,4000,0.1115,-0.0149,0.2128,0.4526,0.5077,0.1113,0.8792,0.9996,7.2556,7.2489,0.1115,-0.0149,0.2128,0.4526,0.5798,-0.0051,1.0533,2.1498,0.6182,0.0167,1.3829,2.2879,0.5833,-0.02,1.09,2.2368,0.6125,0.0018,1.3774,2.1652,,,
4,replay_data,494885,1071.84,24.34,1409.79,4000,0.0786,-0.0094,0.1022,0.3668,0.2791,0.051,0.9749,1.0,23.3623,23.3661,0.0786,-0.0094,0.1022,0.3668,0.7137,0.0377,0.5866,0.9504,0.7127,0.0637,0.5524,0.8676,0.7189,0.0284,0.5972,1.0021,0.7171,0.0543,0.5631,0.892,,,
4,replay_pi,494885,1071.84,24.34,1409.79,4000,0.0631,-0.0085,0.0941,0.2401,0.223,0.0387,0.9832,1.0,23.3972,23.4034,0.0631,-0.0085,0.0941,0.2401,0.7267,0.0457,0.6327,1.0415,0.7252,0.0731,0.6033,0.9511,0.73,0.0373,0.6483,1.0764,0.7275,0.0646,0.605,0.965,0.7071,1.5114,0.0868
4,onpolicy,494885,1071.84,24.34,1409.79,4000,0.0512,-0.0064,0.0856,0.1797,0.1901,0.0367,0.9846,1.0,27.7311,27.7359,0.0511,-0.0064,0.0856,0.1797,0.3665,0.0564,0.396,0.589,0.3892,0.0614,0.4955,0.7198,0.3682,0.0499,0.4059,0.6053,0.3902,0.0549,0.5035,0.7126,,,
4,ou,494885,1071.84,24.34,1409.79,4000,0.1898,-0.0643,0.3665,0.554,0.6224,0.1242,0.8066,0.9992,6.0333,6.0454,0.1898,-0.0642,0.3665,0.554,1.8159,-0.4563,5.2375,5.9429,1.1528,0.1629,2.4223,3.9502,1.8411,-0.5205,5.3308,6.0257,1.1638,0.0987,2.4062,4.0025,,,
5,replay_data,493776,495.29,74.64,518.98,4000,0.0671,-0.0049,0.1045,0.3236,0.2806,0.0535,0.9617,0.9999,9.3303,9.3346,0.0671,-0.0049,0.1045,0.3236,0.3339,-0.0533,0.6059,0.9738,0.3481,-0.1046,0.6521,0.9779,0.3403,-0.0583,0.6147,1.0324,0.3537,-0.1096,0.6719,1.0073,,,
5,replay_pi,493776,495.29,74.64,518.98,4000,0.066,-0.0048,0.0951,0.2855,0.264,0.0425,0.966,0.9999,9.3689,9.3733,0.066,-0.0048,0.0951,0.2855,0.3528,-0.0464,0.6419,1.093,0.3588,-0.0969,0.6725,1.0324,0.3593,-0.0512,0.6483,1.1054,0.3645,-0.1017,0.6815,1.0708,0.859,1.7473,-0.109
5,onpolicy,493776,495.29,74.64,518.98,4000,0.0582,-0.0031,0.0855,0.2366,0.2535,0.0435,0.9794,0.9999,13.3539,13.3568,0.0582,-0.0031,0.0855,0.2366,0.5554,-0.1006,0.6307,0.8926,0.5449,-0.0752,0.5761,0.8427,0.5579,-0.1037,0.6336,0.92,0.5486,-0.0783,0.5944,0.8435,,,
5,ou,493776,495.29,74.64,518.98,4000,0.0624,-0.0081,0.1413,0.2058,0.425,0.0818,0.9098,0.9997,5.7924,5.8065,0.0624,-0.0081,0.1413,0.2058,0.3521,-0.0048,0.6703,0.8415,0.3531,-0.045,0.6627,1.107,0.3558,-0.0129,0.679,0.8719,0.357,-0.0531,0.662,1.1053,,,
6,replay_data,497497,997.08,29.43,1703.02,4000,0.1146,-0.0077,0.1023,0.2781,0.5116,0.0633,0.9645,1.0,32.5592,32.5636,0.1146,-0.0077,0.1023,0.2781,0.7698,0.0699,0.4193,0.6809,0.7696,0.0882,0.4021,0.6336,0.7778,0.0622,0.4536,0.7462,0.7742,0.0805,0.4272,0.6623,,,
