fork,seed,fork_step,branch,rng,step,ret,guard_clamp_frac,guard_cap_frac,guard_nonfinite_frac,guard_delta_med,guard_delta_mad
seed5_at124k,5,124245,guarded,303,144246,61.77,0.078125,0.0,0.0,-0.002431,0.060516
seed5_at124k,5,124245,guarded,303,154246,309.13,0.070312,0.0,0.0,0.000691,0.045664
seed5_at124k,5,124245,guarded,303,164246,8.2,0.089844,0.0,0.0,-3e-06,0.044578
seed5_at124k,5,124245,guarded,303,174246,425.56,0.082031,0.0,0.0,0.002505,0.040542
seed5_at124k,5,124245,guarded,303,184246,485.17,0.078125,0.0,0.0,-0.000255,0.031374
seed5_at124k,5,124245,guarded,303,194246,466.66,0.058594,0.0,0.0,-0.00248,0.030085
seed5_at124k,5,124245,guarded,303,204246,457.35,0.039062,0.0,0.0,-0.001033,0.030938
seed5_at124k,5,124245,guarded,303,214246,532.19,0.046875,0.0,0.0,-0.004137,0.032194
seed5_at124k,5,124245,guarded,303,224246,472.52,0.074219,0.0,0.0,-0.002402,0.030467
seed5_at124k,5,124245,guarded,303,234246,408.83,0.074219,0.0,0.0,-0.002095,0.030753
seed11_at356k,11,355856,guarded,101,355857,437.08,0.152344,0.0,0.0,0.002012,0.0449
seed11_at356k,11,355856,guarded,101,365857,928.41,0.132812,0.0,0.0,-0.001718,0.057084
seed11_at356k,11,355856,guarded,101,375857,833.23,0.128906,0.0,0.0,-0.000739,0.051669
seed11_at356k,11,355856,guarded,101,385857,875.35,0.125,0.0,0.0,-0.000677,0.041329
seed11_at356k,11,355856,guarded,101,395857,826.59,0.105469,0.0,0.0,0.000382,0.041098
seed11_at356k,11,355856,guarded,101,405857,974.13,0.109375,0.0,0.0,-0.001404,0.050091
seed11_at356k,11,355856,guarded,101,415857,867.32,0.121094,0.0,0.0,-0.001349,0.043787
seed11_at356k,11,355856,guarded,101,425857,799.27,0.132812,0.0,0.0,-0.001492,0.043536
seed11_at356k,11,355856,guarded,101,435857,1037.04,0.125,0.0,0.0,0.002344,0.053836
seed11_at356k,11,355856,guarded,101,445857,636.43,0.128906,0.0,0.0,0.000168,0.046546
seed11_at356k,11,355856,guarded,101,455857,983.31,0.078125,0.0,0.0,-0.002019,0.043875
seed11_at356k,11,355856,guarded,101,465857,1244.12,0.113281,0.0,0.0,0.000244,0.055609
seed11_at356k,11,355856,guarded,202,355857,422.14,0.113281,0.0,0.0,-0.001657,0.045701
seed11_at356k,11,355856,guarded,202,365857,939.89,0.171875,0.0,0.0,0.003098,0.057644
seed11_at356k,11,355856,guarded,202,375857,420.99,0.144531,0.0,0.0,-0.000809,0.055643
seed11_at356k,11,355856,guarded,202,385857,928.7,0.113281,0.0,0.0,-0.000888,0.053848
