rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
0.25290469073108285,0.03632005230320389,-0.14734877552241082,-0.9309428542501932,0.0,1132.712023224319,-1.2480206220508843,2099,0,2000,0.0003,,,,,,,,,,,,,,
0.08712641193880666,-0.028922908122873476,0.030260223522508966,-0.9204887488887229,0.0,1120.091963153263,28.022008523561205,2133,1,4000,0.0003,,,,,,,,,,,,,,
-0.2995982041177923,0.051729931466103794,0.18559624345332418,-0.9306006660080373,0.0,1113.1617257117036,118.52007522662633,2152,2,6000,0.0003,,,,,,,,,,,,,,
0.014478837688802735,0.010577569796206035,-0.0870724145363491,-0.9364186489885034,0.0,1097.6002263641979,79.4251698724983,2161,3,8000,0.0003,,,,,,,,,,,,,,
0.2945459911119543,-0.0615220703031157,0.08675251242135766,-0.9380546338584309,0.0,1105.827635014708,-107.00750197021033,1458,6,10000,0.0003,0.009594498202204704,0.05000000074505806,772759.625,4.223175048828125,1,,,,,,,,,
19.877701334953382,0.18061594296390357,1.7842279918380124,-0.20058712265209924,0.0,2318.63065685792,26024.925172359228,168,71,12000,0.0003,-437033.9375,0.05000000074505806,4070195200.0,295652.34375,2001,11411.0,6966606.184129,,,,,,,
20.0,0.013282702306517118,2.0390327214423287,0.21372096117069284,0.0,2703.782374433082,28606.807599722415,100,138,14000,0.0003,-3452979.5,0.05000000074505806,419760046080.0,3053964.5,4001,6371.5,3788962.5207615,,,,,,,
20.0,0.1313568014944357,2.0869175740352053,-0.07681266666415316,0.0,2995.731333681713,35058.20232316799,77,205,16000,0.0003,-11573030.0,0.05000000074505806,4491917131776.0,9407406.0,6001,3850.5,2198739.05783275,,,,,,,
20.0,-0.007662369965833997,2.2200886790440237,0.2668974819419083,0.0,3203.4636566841327,39767.25756667488,65,273,18000,0.0003,-25524540.0,0.05000000074505806,16706443411456.0,15602567.0,8001,3347.4,1882008.6381538,,,,,,,
20.0,0.17259166482040464,1.988404181647251,-0.13194331225025263,0.0,2588.131840852968,21881.651983674896,58,340,20000,0.0003,-51411588.0,0.05000000074505806,83904501383168.0,36130984.0,10001,2758.714285714286,1505374.8348328571,,,,,,,
