rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/alpha_loss,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
0.16444204149208963,0.05720172041100774,0.055611130896396375,-0.9795063632537645,0.0,1248.9239109804373,421.0740785193409,2141,0,2000,0.0003,,,,,,,,,,,,,,,
-0.865974239045287,-0.20084783676960927,0.15341664067191527,-0.8946539950015402,0.0,1358.8021318791946,-45.816956280913395,2169,1,4000,0.0003,,,,,,,,,,,,,,,
1.1113113708785691,0.12286296867520968,-0.4457699493025721,-0.8812854662124706,0.0,1224.5006747221717,-55.976424411461686,2182,2,6000,0.0003,,,,,,,,,,,,,,,
1.1824752173707829,0.32970008108385757,0.5815790581927426,-0.8194392652343152,0.0,1189.9162667322976,-9.324105258919257,2196,3,8000,0.0003,,,,,,,,,,,,,,,
-0.2839860376138239,-0.22386498792373405,-0.5319198314753583,-0.812795296106054,0.0,1265.7804121781028,344.6025690101646,1412,7,10000,0.0003,0.07690060138702393,1.0,-0.0,3365366.0,67.58267974853516,1,,,,,,,,,
-2.3643081264495884,-0.08544798807695629,0.13614262467895924,-0.9599353963560721,0.0,1164.5093034196798,-56.39951664260038,158,75,12000,0.0003,17109.546875,1.6734256744384766,-0.894878625869751,835536.0,3260.391845703125,2001,,,,,,,,,
-5.071989574432377,-0.23994360638531262,-0.22619279353586122,-0.9254309939123433,0.0,1070.199236964557,-200.57166672674944,96,145,14000,0.0003,82600.46875,2.422227621078491,-0.8421076536178589,156974.875,2521.43212890625,4001,,,,,,,,,
-4.5009049930572536,-0.6531054426651177,-0.23466303336080419,-0.6614106455418935,0.0,734.9258635490144,-359.7645194974602,74,215,16000,0.0003,143818.3125,4.835472583770752,-4.706180572509766,466184.75,9045.904296875,6001,,,,,,,,,
7.806060485839853,-0.0013250814313677359,0.7208579672502856,-0.33285387918755677,0.0,513.381243254782,-428.0165877845696,62,286,18000,0.0003,50777.79296875,9.654324531555176,-5.279444694519043,929742.0,8055.59521484375,8001,,,,,,,,,
2.051740100860598,0.2475214588634326,-0.04719564870929858,-0.3475191913356365,0.0,168.04725868685955,14.753691456732357,56,356,20000,0.0003,61131.77734375,14.292691230773926,-2.9435009956359863,590836.0,4302.32177734375,10001,,,,,,,,,
8.72618592834474,0.25457879675556067,-0.09515277480695701,-0.369914887022728,0.0,252.18132142247936,156.2214820871694,51,426,22000,0.0003,113382.5546875,17.169767379760742,-0.7764708399772644,1514452.625,4073.50830078125,12001,,,,,,,,,
2.7359581413269,0.060598915899388754,-0.051672647657423125,-0.5156670776406904,0.0,339.83250468879874,51.51506683190021,48,496,24000,0.0003,149764.03125,26.271591186523438,-1.5277694463729858,11791920.0,33226.68359375,14001,,,,,,,,,
3.1133862648010306,0.2519934426560763,0.32090045058787764,-0.449077170242558,0.0,320.7308436191515,-35.73627473796545,45,565,26000,0.0003,160254.640625,51.940940856933594,-2.61252498626709,3046727.25,5175.6865234375,16001,,,,,,,,,
2.757972284317015,0.488567891706241,-0.17826332974348674,-0.47837270250908936,0.0,402.7464227354111,390.5162120965382,44,635,28000,0.0003,167276.453125,62.47467803955078,-0.07175778597593307,3814990.75,10149.009765625,18001,,,,,,,,,
3.314689506530756,0.015833044705028,-0.19960072239575088,-0.7583833828512727,0.0,721.1112722523469,97.04766187201912,42,705,30000,0.0003,167113.25,75.77214050292969,-0.2001785933971405,5509122.0,10094.60546875,20001,,,,,,,,,
1.8253010692596436,0.08221249673921266,0.22564313808988232,-0.7583065921928498,0.0,717.6751270904696,13.63647148001146,41,775,32000,0.0003,177313.640625,53.36041259765625,0.2568627595901489,3209188.0,7959.189453125,22001,,,,,,,,,
3.545851476669308,0.3129600630138097,0.024072564377820745,-0.7291025498769504,0.0,673.4961738427328,33.32508546698936,40,844,34000,0.0003,201752.921875,40.514404296875,-0.07694464921951294,1904836.5,4517.79296875,24001,,,,,,,,,
5.977388824462881,0.27190740015781883,-0.047365880439005394,-0.7586669236082388,0.0,748.1766827500838,105.31718255681339,39,914,36000,0.0003,222402.53125,38.96694564819336,-0.20045682787895203,3330672.5,7181.859375,26001,,,,,,,,,
3.6343688793182376,0.16548240628140484,-0.052851083604948904,-0.8153551826589079,0.0,812.1959625894115,36.41224609117761,38,984,38000,0.0003,240214.21875,47.6108512878418,-0.3501896560192108,3015249.0,4989.30224609375,28001,,,,,,,,,
3.75829168510437,0.20665725197260668,0.06112234088127931,-0.7986773879030182,0.0,795.4881748639638,-8.24910496114757,37,1054,40000,0.0003,258304.03125,50.56414794921875,-0.7470623850822449,4381928.0,10679.3017578125,30001,40000.0,-31445241.576444,,,,,,,
3.491137170791627,0.20283008197222036,0.13529578332991843,-0.9597961675966433,0.0,1174.9196147089167,-30.35693292826365,37,1124,42000,0.0003,275782.0,39.72929763793945,0.2872973084449768,2812938.0,5014.84619140625,32001,40000.0,-31445241.576444,,,,,,,
