arm,seed,stage,step,dataset,accel_corr,accel_nrmse,mass_rel_frob_err,coriolis_corr,coriolis_nrmse,gradV_combined_corr,gen_rmse,quad_corr
constraint,0,100000,100000,reference,0.3565415143966675,3.279482577675163,0.29340435699268674,-0.03483846224789403,1.8158348096148882,0.2021094533855414,28.477018924160944,0.7413430213928223
constraint,0,100000,100000,policy,0.9268315434455872,0.39172514543544695,0.3288519167892574,0.5281642568066308,1.37330419279371,0.4025151798583287,95.95298811462096,0.3157900273799896
constraint,0,100000,100000,best_policy,0.8118901252746582,0.6924712501441044,0.3374826572505348,-0.3336717569361012,6.278110755056907,0.9603781264440658,29.40613393485304,-0.14783762395381927
compliant,0,100000,100000,reference,0.4976244568824768,1.453622618766651,0.19817498584140053,0.2197738950626943,1.2835962819990538,0.7906128018962187,11.313519393962423,0.28415578603744507
compliant,0,100000,100000,policy,0.9453591704368591,0.3842569036272493,0.16113969271512707,0.7885246248002982,0.6329620040551295,0.6297673551563086,21.886378022460708,0.29703715443611145
compliant,0,100000,100000,best_policy,0.9251777529716492,0.41931530826311286,0.16884214199161446,0.2174591740808586,1.1556767550552656,0.4026473906323065,35.482485641076934,0.2599291503429413
constraint,0,188000,189579,reference,0.4102610647678375,2.686915698417789,0.26966989591464446,0.03242340622233313,1.65447193914766,0.5287813369403627,13.33886233684544,-0.29950231313705444
constraint,0,188000,189579,policy,0.8906521797180176,0.5253805200181371,0.30423142311467677,0.4468132792478152,1.543610920265983,0.7005495859661496,29.416885125513048,-0.17596863210201263
constraint,0,188000,189579,best_policy,0.8989386558532715,0.46634420360927775,0.36972057834677124,-0.3365598614100885,3.973825518492664,0.7525653296924536,15.768467993709985,-0.19458019733428955
compliant,0,188000,181845,reference,0.4908278286457062,1.4381234878383833,0.28730105779894083,0.07070969921771271,1.6097332161029845,0.7492790484276158,8.988028911130428,-0.3535670340061188
compliant,0,188000,181845,policy,0.8610402941703796,0.5146241858633215,0.2799094011744643,0.5466330107592707,0.8724332154552907,0.7909652097263498,13.578251946041108,0.0888056755065918
compliant,0,188000,181845,best_policy,0.9319338798522949,0.40827812822273946,0.28908737070016943,0.5252684334110013,0.9830039801890066,0.3857482199420106,28.37880770918206,0.029387488961219788
constraint,1,100000,100000,reference,0.5281097292900085,1.9287538684600651,0.40908812405060985,0.05949968424294883,2.0920108855675834,0.5256131474013997,14.196627680030176,0.28513744473457336
constraint,1,100000,100000,policy,0.9419077634811401,0.3686903719127921,0.3884098991326401,0.6003553093178358,1.1827025537289628,0.7708819916617509,26.207885044581907,0.30459222197532654
constraint,1,100000,100000,best_policy,0.33887341618537903,1.0140544229289377,0.7684696580852767,0.1888803896653379,2.499044111556324,-0.005737679127384035,97.00351902840896,0.2642989456653595
compliant,1,100000,100000,reference,0.5540259480476379,1.1605156925156985,0.22812923352549114,-0.19721563968402997,2.598866628289345,0.8746338819909742,18.131804764213676,0.3616320490837097
compliant,1,100000,100000,policy,0.8787951469421387,0.5108645842094565,0.29623460725387185,0.623328377184865,0.7968552929160541,0.8702482431326962,52.67468034015275,0.13786672055721283
compliant,1,100000,100000,best_policy,0.8603174686431885,0.5240843682132079,0.39225985087549375,0.11457532906290328,1.4013460372309892,0.8989559750558258,70.05103726081833,0.4154275357723236
constraint,1,188000,189991,reference,0.38396626710891724,3.027097500116259,0.2952056836862075,0.08326933921169169,2.0109599072841333,0.2578796275452655,15.970894155335198,-0.07982733845710754
constraint,1,188000,189991,policy,0.895323634147644,0.4650739685082084,0.21707070839491271,0.6109468299794724,1.0874693373318882,0.6278293996140671,83.58421410926017,0.4316631853580475
constraint,1,188000,189991,best_policy,0.848868191242218,0.5739729563686046,0.6261807686362026,-0.26657109942655516,1.1148956336921645,0.04162182637876268,71.73993920563272,0.8265563249588013
compliant,1,188000,177809,reference,0.500734269618988,1.3109733263281078,0.24626472483345585,-0.040181896663316216,1.795691113906693,0.6318243814277821,13.096961020005994,0.24025128781795502
compliant,1,188000,177809,policy,0.8830193877220154,0.4834842171428923,0.2872900546409089,-0.29967177279815016,3.088496937274734,0.5953762029228519,17.301166284084633,0.06007716432213783
compliant,1,188000,177809,best_policy,0.9035256505012512,0.4527478974867925,0.3910390913409137,0.5279741249289174,1.0423001079989653,0.8356053356762475,50.360086517778,0.04460221529006958
constraint,2,100000,100000,reference,0.5381947755813599,2.2726143874566795,0.24119409140000772,0.673385505708861,0.7501699865096524,0.9591565942981927,16.57832204511289,0.34142640233039856
constraint,2,100000,100000,policy,0.9649853706359863,0.3092056215702724,0.3028610276353152,-0.05336903408380292,1.3000676845680605,0.7890416261488644,12.071043489138257,0.05108237639069557
constraint,2,100000,100000,best_policy,0.9597203135490417,0.292093374638799,0.621445322938511,0.43741534562388756,0.9021844387220808,0.7533120510375968,14.241143560139903,-0.1687314659357071
compliant,2,100000,100000,reference,0.4247734248638153,1.5964624396824365,0.27075307059364345,-0.13588181787713485,1.2902941551217704,0.9146708346268949,11.507828133040247,0.6991204023361206
compliant,2,100000,100000,policy,0.9452962875366211,0.3618586930654346,0.20629630001589583,0.432581965860101,0.9824385850968321,0.2852077135948723,16.658961375243575,0.618989884853363
compliant,2,100000,100000,best_policy,0.8954287767410278,0.4574560456311157,0.23547274653148773,0.6719049507016511,0.7414768163981047,0.8331931899922258,34.364338278000815,0.3409190773963928
constraint,3,100000,100000,reference,0.27363619208335876,4.208545423537287,0.31991649752210277,-0.1547223198469437,2.3175201703652397,-0.00548512385376495,18.519918954079188,0.038204118609428406
constraint,3,100000,100000,policy,0.8476737141609192,0.6559138413233123,0.35547067688268813,0.4433244943822047,1.38129768211016,0.5960638779714102,20.78872708488954,0.284354031085968
constraint,3,100000,100000,best_policy,0.8790945410728455,0.5000499574517602,0.27410664634968224,0.5307658274660809,1.1676977051798365,0.6059343751648558,86.01500409617869,0.008983808569610119
compliant,3,100000,100000,reference,0.4563084840774536,1.787682399778188,0.3816369637922026,0.15515596323188893,1.36725085559973,0.7067099211987307,8.872842317409445,0.20153971016407013
compliant,3,100000,100000,policy,0.8759809732437134,0.4865478076540525,0.4005017121462615,0.5184441212078836,0.8878701412035962,0.2305367342610523,15.62216879960204,0.25389546155929565
compliant,3,100000,100000,best_policy,0.9053061604499817,0.46557555167835474,0.4648610206119392,0.8176004310125826,0.5926540994762625,0.7870840215761109,29.294336485162823,0.11694134771823883
