rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/alpha_loss,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
-1.0356582898586058,-0.046711382397421036,0.1252043890169703,-0.9696314310839236,0.0,1242.9731728031388,185.10799771566207,2097,0,2000,0.0003,,,,,,,,,,,,,,,
-0.6244938695766041,-0.10532085213655491,-0.18519963501753056,-0.9685055912964582,0.0,1222.6460446798558,437.4273961993897,2111,1,4000,0.0003,,,,,,,,,,,,,,,
-0.5689981339462115,-0.004886327046163216,0.059342451028793874,-0.9875670608929097,0.0,1242.8551843431774,174.08120582133725,2126,2,6000,0.0003,,,,,,,,,,,,,,,
1.4547116296328615,0.1521004156005187,-0.10540833974510207,-0.9607553995430158,0.0,1252.2154456343071,199.7175864835321,2137,3,8000,0.0003,,,,,,,,,,,,,,,
-0.21945047794911102,-0.014238784094636364,0.33160983496207636,-0.9412586859510829,0.0,1246.4754455371922,-85.9300096867478,1412,7,10000,0.0003,-0.06900359690189362,1.0,-0.0,742219.3125,81.51032257080078,1,,,,,,,,,
4.3289572048187255,0.24651279718715483,-0.10327755767644962,-0.9549684907513336,0.0,1136.1152891441236,104.83625652270224,156,76,12000,0.0003,20319.5859375,1.2533396482467651,0.033756840974092484,109981.765625,1357.52001953125,2001,,,,,,,,,
-3.8179538002014146,-0.16368895888796042,-0.45301787291936774,-0.9324247008260028,0.0,1147.4282370081892,-233.70899931301324,94,147,14000,0.0003,59878.0390625,1.8054957389831543,-0.5503943562507629,30625.734375,630.1897583007812,4001,,,,,,,,,
-8.862267469406145,-0.53534441053937,-0.42140864270344236,-0.6470075588666407,0.0,770.9011484876929,-160.07216658054696,73,218,16000,0.0003,84576.640625,3.7200372219085693,-1.2879530191421509,139055.078125,2989.25927734375,6001,,,,,,,,,
-1.246127315521241,0.23760769245733643,-0.8513342084473234,-0.5256165914096789,0.0,1629.275580285163,1210.7336723440478,62,288,18000,0.0003,125829.015625,5.728940486907959,-1.1843119859695435,672151.25,6236.07080078125,8001,,,,,,,,,
1.4096541652679468,0.031578930373870065,0.6185321093571005,-0.491148054740796,0.0,1657.296980429549,-1114.8729961624986,55,359,20000,0.0003,145555.015625,10.787336349487305,-1.464505910873413,1185946.0,9693.134765625,10001,,,,,,,,,
10.479446922302255,0.4764391211620956,-0.22509096546170004,-0.391798570945865,0.0,939.9979506336415,348.17561333740116,51,430,22000,0.0003,165926.484375,18.21154022216797,-4.420807361602783,2332061.0,6246.20361328125,12001,,,,,,,,,
15.09352777481078,0.35684035264700004,0.25367933576429647,-0.30945354113945256,0.0,1008.3255628432421,-566.4335499020997,47,500,24000,0.0003,134827.25,31.702638626098633,-1.5542356967926025,4973675.0,12223.8994140625,14001,,,,,,,,,
31.289254007339487,0.7150824135305371,0.10548900547630441,0.1926162797257681,0.0,564.9569624564364,-94.02859126350862,45,571,26000,0.0003,138525.0625,36.62508010864258,-0.47530147433280945,3906110.0,9105.78125,16001,,,,,,,,,
-0.7711621799469157,-0.3032597601874295,0.381348402250107,0.21611145930770412,0.0,547.5109273580053,-382.90426304645837,43,642,28000,0.0003,121014.265625,46.05632019042969,-0.935888409614563,6133610.0,13487.2490234375,18001,,,,,,,,,
-6.171887750625613,-0.21396437501350754,0.3982796171893975,-0.44638941696834444,0.0,594.3841616584699,596.8602333657468,42,712,30000,0.0003,118414.921875,33.638702392578125,0.9693238735198975,2346400.0,4822.9609375,20001,,,,,,,,,
