rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/alpha_loss,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
0.25290469073108285,0.03632005230320389,-0.14734877552241082,-0.9309428542501932,0.0,1132.712023224319,-1.2480206220508843,2125,0,2000,0.0003,,,,,,,,,,,,,,,
0.08712641193880666,-0.028922908122873476,0.030260223522508966,-0.9204887488887229,0.0,1120.091963153263,28.022008523561205,2138,1,4000,0.0003,,,,,,,,,,,,,,,
-0.2995982041177923,0.051729931466103794,0.18559624345332418,-0.9306006660080373,0.0,1113.1617257117036,118.52007522662633,2150,2,6000,0.0003,,,,,,,,,,,,,,,
0.014478837688802735,0.010577569796206035,-0.0870724145363491,-0.9364186489885034,0.0,1097.6002263641979,79.4251698724983,2152,3,8000,0.0003,,,,,,,,,,,,,,,
0.2945459911119543,-0.0615220703031157,0.08675251242135766,-0.9380546338584309,0.0,1105.827635014708,-107.00750197021033,1481,6,10000,0.0003,-0.2743346691131592,1.0,-0.0,774424.125,89.21256256103516,1,,,,,,,,,
8.464562553763365,0.011964571302150956,0.911343615735268,-0.23512342434991063,0.0,2478.2879447553833,25884.93369272801,166,72,12000,0.0003,-378118.1875,2.1087090969085693,-8.925925254821777,2139676928.0,187798.125,2001,11531.0,6981936.139879,,,,,,,
-20.0,-0.02680011988657156,-2.13181778817562,0.21604185379604357,0.0,2808.8011719652777,26930.336002022173,99,140,14000,0.0003,-2656468.5,4.029075622558594,-16.593883514404297,123653554176.0,1645098.875,4001,6406.5,3770556.6353945,,,,,,,
-20.0,-0.14158071380710918,-2.1283086528298405,-0.06330514300607475,0.0,3017.908468037114,33533.980238062766,76,209,16000,0.0003,-7291883.5,7.359766483306885,-23.17059326171875,1088245399552.0,4766551.5,6001,3845.25,2166025.70485825,,,,,,,
-20.0,0.020797001280715693,-2.2190454402267776,0.26825868410167747,0.0,3299.5794608000388,41813.98113274282,64,277,18000,0.0003,-14868401.0,13.303342819213867,-28.87251853942871,3671897669632.0,9339741.0,8001,2999.6666666666665,1640095.7916080002,,,,,,,
-20.0,-0.1761623741191346,-1.9478623598330786,-0.14303138130770288,0.0,2454.087849704039,20259.012740523413,57,345,20000,0.0003,-26972640.0,23.905174255371094,-34.110206604003906,13918489542656.0,14966681.0,10001,2759.0,1489983.7467232856,,,,,,,
-20.0,0.04837876918985049,-2.190426422853364,0.19745233399817896,0.0,3270.282377245255,39918.876350385966,53,413,22000,0.0003,-43757960.0,43.261470794677734,-39.759307861328125,22558090985472.0,23127874.0,12001,2436.4444444444443,1287916.6072945555,,,,,,,
-20.0,-0.19881033614081456,-1.9644897201999376,-0.09098242665003844,0.0,2418.837045451145,20533.14774022814,49,481,24000,0.0003,-69227688.0,78.45060729980469,-44.904502868652344,75941405523968.0,29589650.0,14001,2325.2,1219121.8764368,,,,,,,
-20.0,0.0641765371719536,-2.184889774880379,0.1889809749540091,0.0,3310.0079372580885,41818.46149932482,47,549,26000,0.0003,-97305720.0,142.41319274902344,-51.51081085205078,117417409773568.0,42783272.0,16001,2157.0833333333335,1114851.6428630834,,,,,,,
-20.0,-0.20698799946220892,-2.047925489460895,-0.03554817008165746,0.0,2509.4380472974613,20061.076392566672,45,617,28000,0.0003,-132140896.0,258.7491455078125,-57.06834411621094,2171705652936704.0,58740092.0,18001,2090.0,1072267.1158754616,,,,,,,
-20.0,0.0762090712215986,-2.1753274840805346,0.1327996964201701,0.0,3315.848695681069,41451.88353530489,43,684,30000,0.0003,-172838992.0,470.00634765625,-62.60285186767578,494899216515072.0,76260096.0,20001,1985.1333333333334,1006779.4468806667,,,,,,,
-20.0,-0.17311019584764617,-2.0129327750573482,0.0012101547198326143,0.0,2453.9911414040307,19641.739455389874,42,752,32000,0.0003,-216702976.0,853.7208251953125,-67.31246948242188,482985379889152.0,93558488.0,22001,1941.5,979041.9353030624,,,,,,,
-20.0,0.03559162928918193,-2.1729648047712713,0.08606329079181713,0.0,3306.6836199118575,40963.96546807383,41,820,34000,0.0003,-261744880.0,1550.3297119140625,-72.46441650390625,878524957196288.0,113229304.0,24001,1872.5555555555557,936527.1449049445,,,,,,,
-20.0,-0.16008002665857476,-1.9735160233934397,0.026235316703812177,0.0,2402.58355427857,20739.450105588603,40,888,36000,0.0003,-343541312.0,2810.863525390625,-76.7662582397461,1878875722219520.0,143158720.0,26001,1843.6315789473683,918738.9098957895,,,,,,,
-20.0,0.01824432289061015,-2.2222717431933767,0.0790320070987884,0.0,3367.435650459198,40325.89236471287,39,956,38000,0.0003,-404111776.0,5087.8798828125,-81.22601318359375,1979197434101760.0,171309664.0,28001,1791.952380952381,886289.9398563809,,,,,,,
-20.0,-0.0977379610340471,-2.0256556397383716,0.097877155276674,0.0,2503.391527886514,22209.915116530316,39,1024,40000,0.0003,-512393952.0,9179.318359375,-82.82398986816406,3.034282725474304e+16,222216384.0,30001,1770.590909090909,873162.5329967727,,,,,,,
-20.0,-0.05103130619155235,-2.1794361955721873,0.025929534264839422,0.0,3259.992980780574,39302.70465081988,38,1091,42000,0.0003,-598922944.0,16584.451171875,-86.13079833984375,5410443854086144.0,240687584.0,32001,1731.7916666666667,848915.552852375,,,,,,,
-20.0,-0.041856953318018544,-2.0957278403842827,0.17978961559378706,0.0,2710.0020466989795,24837.882648999468,37,1159,44000,0.0003,-694028288.0,29961.791015625,-88.16968536376953,6586789762433024.0,284599744.0,34001,1713.52,837162.6457872001,,,,,,,
-20.0,-0.12330938083468121,-2.166286150773796,-0.03168575463452822,0.0,3112.525761785922,35397.875834353785,37,1227,46000,0.0003,-832375168.0,53989.42578125,-90.14470672607422,1.0531674274136064e+16,330545472.0,36001,1681.8148148148148,816777.9851272963,,,,,,,
-20.0,0.020921483785431388,-2.242834579564452,0.26037955096476345,0.0,3337.62651709338,40544.15368729837,37,1294,48000,0.0003,-972364544.0,97117.1328125,-91.25101470947266,1.671385449496576e+16,391625760.0,38001,1653.7931034482758,798759.4511489656,,,,,,,
-20.0,-0.2022419962876756,-1.9987986843484817,-0.08457079373704733,0.0,2492.949283360482,20549.721118095145,36,1362,50000,0.0003,-1154203904.0,174943.265625,-92.01075744628906,2.385804726055731e+16,444855904.0,40001,1641.1666666666667,790631.7729620334,,,,,,,
-20.0,0.0699780583399747,-2.1573868028640635,0.20276422677290507,0.0,3275.0097685850496,42565.22432906796,36,1430,52000,0.0003,-1188030464.0,313716.5625,-89.95048522949219,1.405194113908736e+16,471473536.0,42001,1621.65625,779151.6789962188,,,,,,,
-20.0,-0.21297623345549926,-2.0429039354874146,-0.04653409095108497,0.0,2507.055134919337,20038.907828118518,36,1498,54000,0.0003,-1442182400.0,562314.5625,-89.80072784423828,2.0405630141464576e+17,568318912.0,44001,1611.4545454545455,772551.7237546365,,,,,,,
-20.0,0.08248202655008884,-2.159157595095658,0.14782203514003955,0.0,3296.8833844828123,41817.21269079223,35,1566,56000,0.0003,-1640313984.0,1010115.125,-89.52976989746094,3.4384803797139456e+16,660916864.0,46001,1594.1714285714286,761955.1305992858,,,,,,,
-20.0,-0.20554559367963826,-1.9883964417892692,-0.024565929766067182,0.0,2425.368872111668,20310.14593896878,35,1634,58000,0.0003,-1833313792.0,1803225.375,-85.2229995727539,4.383355145971302e+16,730948096.0,48001,1586.7222222222222,757546.4783926111,,,,,,,
-20.0,0.06781997463241275,-2.1789931567571896,0.10155665263338114,0.0,3302.581884601746,40471.05172648791,35,1703,60000,0.0003,-1843684096.0,3222242.5,-84.16455078125,4.149678001304371e+16,768967424.0,50001,1572.3157894736842,748566.3329232106,,,,,,,
-20.0,-0.169137007258149,-2.0006883328741574,0.0044729386289591435,0.0,2441.4795334111404,20448.59686436379,34,1772,62000,0.0003,-2099443712.0,5788763.5,-85.12889862060547,4.667503825723064e+17,822264128.0,52001,1565.8974358974358,744680.7973263077,,,,,,,
-20.0,0.029837608901189562,-2.1660904434807087,0.09186283842155356,0.0,3295.9846322253925,40962.417628354575,34,1841,64000,0.0003,-2277653248.0,10358899.0,-80.98554229736328,2.6061490466953626e+17,2284617728.0,54001,1553.7560975609756,737277.7356823903,,,,,,,
-20.0,-0.1649147747308461,-1.964814658291571,0.031145072121595924,0.0,2392.9635836954153,21061.07695711068,34,1910,66000,0.0003,-2474046976.0,18419350.0,-77.4182357788086,5.280865012888371e+17,3249378304.0,56001,1548.3809523809523,734145.1825874047,,,,,,,
-20.0,0.022199061215411986,-2.1893029396790578,0.07980754269041676,0.0,3328.8829683938225,41421.02721909299,34,1980,68000,0.0003,-2390221312.0,32784226.0,-75.36079406738281,1.132845796673192e+18,4208887808.0,58001,1538.2727272727273,728166.1136111136,,,,,,,
-20.0,-0.12431973668106423,-2.0042366517965093,0.06346578813370261,0.0,2463.266277831803,20812.078008219018,34,2050,70000,0.0003,-2136376832.0,58195148.0,-70.17408752441406,2.928220466604671e+18,7650503168.0,60001,1532.6,724425.3302076444,,,,,,,
-20.0,-0.020458579158193397,-2.2179642797016155,0.03474656572832007,0.0,3330.7701339139076,39243.20462180544,33,2120,72000,0.0003,-1675502592.0,103426960.0,-66.58708953857422,9.31930002833172e+18,13483941888.0,62001,1523.0,718366.057527532,,,,,,,
-19.960000000000008,-0.05746522418574831,-2.0654938719397644,0.1424375818716976,0.0,2616.166667640005,23156.060948378126,33,2192,74000,0.0003,-1135945600.0,183934512.0,-64.09020233154297,2.0441629801425404e+19,13236506624.0,64001,1518.125,715152.8586128751,,,,,,,
-19.759999999999966,-0.08806738618436691,-2.136661776553703,-0.04697968100088376,0.0,3161.02980034975,36317.71864093643,33,2264,76000,0.0003,-372518464.0,327918112.0,-61.14248275756836,7.349353863161735e+19,21991292928.0,66001,1509.38,709394.6591692402,,,,,,,
-19.900000000000013,-0.047432292429263764,-1.9758940629502604,0.16015317603747478,0.0,2510.9625668440076,24399.105628978283,33,2337,78000,0.0003,813737472.0,587447552.0,-59.78927993774414,4.1339825209215025e+20,73586720768.0,68001,1505.9019607843138,707341.9886085492,,,,,,,
-19.87999999999997,-0.09035328783644933,-2.14041997076792,-0.044698737382501144,0.0,3185.6963631574286,38500.9970414304,33,2410,80000,0.0003,2850506752.0,1056428928.0,-61.3632698059082,8.670045712887201e+20,105211273216.0,70001,1499.6037735849056,703805.478665434,,,,,,,
-19.52000000000002,-0.039317847277523535,-1.9984050920198757,0.1289226849983292,0.0,2604.6178464918235,24784.481264720973,33,2484,82000,0.0003,5753861632.0,1889217152.0,-57.03434371948242,2.8599884253634966e+21,134774120448.0,72001,1496.5,702077.5016637594,,,,,,,
-9.30000000000003,0.051793857862244705,-1.2731898061187874,-0.0409145926302656,0.0,3159.2606764140887,36350.96449649686,32,2558,84000,0.0003,10984279040.0,3387943936.0,-55.52534866333008,7.878781835706668e+21,337990221824.0,74001,1490.1964285714287,697862.5120473214,,,,,,,
-4.42,-0.08768940224984788,-0.16843957055256564,0.17210069788578392,0.0,2675.4704657903985,25459.424023641,32,2632,86000,0.0003,20286144512.0,6101609472.0,-55.532196044921875,3.300281491853485e+22,576322469888.0,76001,1487.298245614035,695951.401341035,,,,,,,
-19.960000000000008,-0.11921608509721751,-2.1065265562414233,-0.07345416061269444,0.0,3053.421089816034,35270.4481880991,32,2707,88000,0.0003,36451426304.0,10983347200.0,-55.1212158203125,1.0859545994437136e+23,1544697020416.0,78001,1481.7966101694915,692620.435291322,,,,,,,
-19.86,-0.017186063771559786,-2.022491964479199,0.17982818348410037,0.0,2655.5398693071907,26727.10016401651,32,2783,90000,0.0003,63136153600.0,19642361856.0,-53.17821502685547,2.268714072877756e+23,1094822920192.0,80001,1479.1833333333334,691096.6926400833,,,,,,,
-19.85999999999996,-0.12964365032673286,-2.1385532170493464,-0.045859796202809264,0.0,3113.2191309797427,36043.37224960914,32,2858,92000,0.0003,106622435328.0,35137392640.0,-49.773006439208984,9.592532458598306e+23,2836207763456.0,82001,1473.7903225806451,687819.6179353548,,,,,,,
5.1599999999999895,0.1158045131228967,0.2508030674454102,0.10807415075445367,0.0,2633.262373812107,25159.378700565252,32,2934,94000,0.0003,189598531584.0,63028674560.0,-50.09182357788086,2.94764039964394e+24,6443569774592.0,84001,1471.3968253968253,686297.0286789682,,,,,,,
8.679999999999966,-0.04681214060023692,1.1824172979348593,-0.08997392501188263,0.0,3017.470903954307,33778.046118955484,31,3009,96000,0.0003,331557797888.0,113316773888.0,-49.10007858276367,7.720450080643896e+24,10068199211008.0,86001,1468.6461538461538,684606.4427178461,,,,,,,
-19.960000000000008,-0.023173942204423797,-2.03593245289994,0.1927014022797637,0.0,2644.7521217197404,25847.62274099914,31,3085,98000,0.0003,579389227008.0,203616288768.0,-48.0935173034668,3.7884848455742384e+25,28603429421056.0,88001,1466.0,682841.8426763484,,,,,,,
-19.919999999999963,-0.12675324560758208,-2.1350827275195816,-0.06830468107592072,0.0,3091.7389265929914,35870.26957340612,,,100000,0.0003,977318182912.0,364430983168.0,-44.788150787353516,9.566557108276476e+25,29346760753152.0,90000,,,0.0,0.0,40000.0,-144228840503.81796,10459522902.554049,0.0,0.0
,,,,,,,23,4284,100000,0.0003,995062775808.0,364538036224.0,-46.063899993896484,1.3731505412749988e+26,44525133234176.0,90001,1461.9117647058824,680502.0016687353,,,,,,,
-19.86,0.011247167245631195,-2.1419396552105914,0.21416274251288125,0.0,2991.657178759093,33818.934703102794,23,4359,102000,0.0003,1666958491648.0,654862516224.0,-42.05707550048828,4.0690112157647264e+26,63361714749440.0,92001,1459.3623188405797,678784.1359215217,,,,,,,
-19.85999999999996,-0.14947103450784002,-1.9930226555765371,-0.11704451288767698,0.0,2722.2203335069453,27250.7824148606,23,4435,104000,0.0003,2933702787072.0,1168858021888.0,-41.95885467529297,9.336165022428354e+26,76817478189056.0,94001,1455.8591549295775,676726.2766515915,,,,,,,
-19.940000000000005,0.017774168260269074,-2.212701774525327,0.23848733036220546,0.0,3229.013460539801,40219.96083057669,23,4510,106000,0.0003,5100074958848.0,2086084804608.0,-40.98512649536133,3.0800147839075157e+27,232425812656128.0,96001,1454.2083333333333,675873.0985726389,,,,,,,
-19.980000000000015,-0.16830775102798645,-1.948196398100416,-0.12079301024082985,0.0,2527.1415550212564,22456.56919313014,23,4585,108000,0.0003,8454964510720.0,3718812794880.0,-36.86318588256836,1.145672672055642e+28,542710993780736.0,98001,1450.5945945945946,673698.2022230945,,,,,,,
-19.960000000000008,0.03170064276028231,-2.198310591201247,0.24052236680749414,0.0,3260.4395502004704,41068.90877439632,23,4660,110000,0.0003,14924582486016.0,6643285229568.0,-36.80463409423828,4.310288061207957e+28,1270059276173312.0,100001,1447.1447368421052,671637.4703365131,,,,,,,
-20.0,-0.17880815004802333,-1.9444504917184244,-0.12691831899905034,0.0,2422.9227116964785,20142.013817654955,23,4735,112000,0.0003,25440435568640.0,11915735597056.0,-34.174522399902344,1.2786618554931321e+29,1196419780182016.0,102001,1445.4025974025974,670533.5557211688,,,,,,,
-19.900000000000013,0.04761446571408091,-2.190321592486093,0.21401171303021063,0.0,3308.4743251946306,41457.9351462314,23,4809,114000,0.0003,44724006158336.0,21186096398336.0,-34.09058380126953,3.1516937902517306e+29,1741380128866304.0,104001,1442.1012658227849,668545.252907405,,,,,,,
-19.86,-0.19816098701990664,-1.9789658571906414,-0.10693371284208585,0.0,2461.6300432578105,20560.236402431347,23,4883,116000,0.0003,74902384148480.0,37462877405184.0,-31.23487663269043,1.3808408135614726e+30,4366316634898432.0,106001,1440.7,667716.794582275,,,,,,,
-19.840000000000014,0.06247420497888618,-2.150369193509606,0.21537638937517486,0.0,3262.599131462074,41852.83720961047,23,4957,118000,0.0003,127569076682752.0,66934515171328.0,-28.838417053222656,3.607859280924193e+30,6120350945378304.0,108001,1437.878048780488,666075.2299631097,,,,,,,
-19.960000000000008,-0.20194193284437775,-1.9670164218950843,-0.07747048156934605,0.0,2455.8395499361836,22137.577858438068,23,5030,120000,0.0003,223954576867328.0,118855301070848.0,-28.657989501953125,9.966055629080068e+30,7888419329933312.0,110001,1436.9156626506024,665726.0536395662,,,,,,,
-19.679999999999993,0.06445498615694358,-2.1484908024458345,0.1910594376430519,0.0,3254.0237793474266,40740.67909870833,23,5104,122000,0.0003,367756708937728.0,211952810852352.0,-24.248619079589844,3.3534400563845116e+31,1.6503850995286016e+16,112001,1434.2823529411764,664097.9614695882,,,,,,,
