arm,seed,stage,step,accel_corr,accel_nrmse,mass_rel_frob_err,coriolis_corr,coriolis_nrmse,gradV_combined_corr,gen_rmse,quad_corr
constraint,0,100000,100000,0.3565415143966675,3.279482577675163,0.29340435699268674,-0.03483846224789403,1.8158348096148882,0.2021094533855414,,
compliant,0,100000,100000,0.4976244568824768,1.453622618766651,0.19817498584140053,0.2197738950626943,1.2835962819990538,0.7906128018962187,,
constraint,0,188000,189579,0.4102610647678375,2.686915698417789,0.26966989591464446,0.03242340622233313,1.65447193914766,0.5287813369403627,,
compliant,0,188000,181845,0.4908278286457062,1.4381234878383833,0.28730105779894083,0.07070969921771271,1.6097332161029845,0.7492790484276158,,
constraint,1,100000,100000,0.5281097292900085,1.9287538684600651,0.40908812405060985,0.05949968424294883,2.0920108855675834,0.5256131474013997,,
compliant,1,100000,100000,0.5540259480476379,1.1605156925156985,0.22812923352549114,-0.19721563968402997,2.598866628289345,0.8746338819909742,,
constraint,1,188000,189991,0.38396626710891724,3.027097500116259,0.2952056836862075,0.08326933921169169,2.0109599072841333,0.2578796275452655,,
compliant,1,188000,177809,0.500734269618988,1.3109733263281078,0.24626472483345585,-0.040181896663316216,1.795691113906693,0.6318243814277821,,
constraint,2,100000,100000,0.5381947755813599,2.2726143874566795,0.24119409140000772,0.673385505708861,0.7501699865096524,0.9591565942981927,,
compliant,2,100000,100000,0.4247734248638153,1.5964624396824365,0.27075307059364345,-0.13588181787713485,1.2902941551217704,0.9146708346268949,,
constraint,3,100000,100000,0.27363619208335876,4.208545423537287,0.31991649752210277,-0.1547223198469437,2.3175201703652397,-0.00548512385376495,,
compliant,3,100000,100000,0.4563084840774536,1.787682399778188,0.3816369637922026,0.15515596323188893,1.36725085559973,0.7067099211987307,,
constraint,3,188000,186377,0.3883710503578186,2.7347868051704323,0.19788913037147288,0.22527683186789021,2.334819897480919,0.4395957704067054,,
compliant,3,188000,182964,0.4299827814102173,1.8927161037295428,0.4177138602545135,0.4027585293794636,1.162599786033616,0.6919761295930834,,
constraint,4,100000,100000,0.6053205728530884,1.5188177723965144,0.35076754306054886,0.006759743976345006,2.0652281447674943,0.6155431123875429,,
compliant,4,100000,100000,0.48261475563049316,1.443138096609315,0.31534240427152116,-0.14220522627326362,1.917748348217629,0.3557741830092264,,
constraint,4,188000,187078,0.5397081971168518,1.860134920573686,0.3695565626925054,0.011520319890835249,2.1887040863478866,0.3993844461739823,,
compliant,4,188000,181205,0.4705454707145691,1.5282075912724193,0.35229439122400735,0.05169194284078172,2.168472654074223,0.28448698951473284,,
constraint,5,100000,100000,0.4028002619743347,2.8601133464832347,0.460025908941897,0.44786807571156523,1.1525680499592847,0.9818954192257116,,
compliant,5,100000,100000,0.4530097246170044,1.4941726480609179,0.29354030015379634,-0.008207492680253675,1.4939415468689814,0.9406132190149646,,
constraint,5,188000,188083,0.42973268032073975,2.6354790946343587,0.4015885759909874,0.7294655660056011,0.8795253852553865,0.5513592640695235,,
compliant,5,188000,181232,0.5361344814300537,1.272590677812674,0.2132920902984692,-0.058106147013476044,1.7480565012316984,0.9036877485289385,,
constraint,6,100000,100000,0.5759925842285156,1.7461074442184314,0.27833417870104765,0.606420921751299,0.7972669744978449,0.9883610714862242,,
compliant,6,100000,100000,0.5340505838394165,1.2534476646494757,0.19753004409181252,0.10123439903757844,1.4979060207831572,0.851779826093792,,
constraint,6,188000,185397,0.4926265478134155,2.233738214677904,0.3039231651923858,0.4970454248783749,0.8929285541286042,0.9810023458948358,,
compliant,6,188000,183361,0.48594391345977783,1.4739972225593265,0.28369509531498727,-0.03105202417325497,2.078197064800981,0.921012522199956,,
constraint,7,100000,100000,0.31708383560180664,3.7343955991636144,0.2677763007208588,0.14937912821132043,1.9126488664490273,-0.19352398138307528,,
compliant,7,100000,100000,0.44327718019485474,1.5516514242939579,0.18516405300082212,0.013330529142059441,1.917244255649056,0.7705561406292433,,
constraint,7,188000,188394,0.3219424784183502,3.8356810220438917,0.1931189292963417,0.11665716788955019,2.1815822072101536,-0.2589127368197119,,
compliant,7,188000,178285,0.5581830739974976,1.159788189966147,0.3237599087731429,-0.005396524437208865,1.7059785133210184,0.7325805574274411,,
constraint,8,100000,100000,0.2612321376800537,4.134029875140757,0.27857416533084056,0.07368097927427027,2.199808909076193,-0.325811019213684,,
compliant,8,100000,100000,0.4565642774105072,1.5543225149219697,0.2531272495318016,-0.18210359909233803,2.6261029133118874,0.824926814049759,,
constraint,8,188000,184536,0.4761327803134918,1.968178211738389,0.43076433220520016,0.19685093004397658,1.7117556284381052,0.16484103353848012,,
compliant,8,188000,179153,0.39941835403442383,2.0379929829581087,0.3975857917490772,-0.14920075791779805,2.1587937097345966,0.7774478912766474,,
constraint,9,100000,100000,0.17775611579418182,6.808985532373286,0.2809002017149425,0.22701889511498222,2.775666915827621,-0.343358032144955,,
