arm,contact_geometry,contact_solver,gate_off,accel_nrmse,accel_corr,mass_rel_frob_err,contact_force_corr,loss_last100_mean,in_contact_step5,in_contact_step500,in_contact_step3000,normal_impulse_mean_step0,normal_impulse_mean_step3000
kinematic_constraint,kinematic,constraint,0.005,0.7880246915621241,0.7522079348564148,0.7967541681120508,0.7022282070539642,0.0029823070752900095,0.3170572916666667,0.2994791666666667,0.2578125,0.0058577152261799865,0.00028685807181398165
kinematic_constraint_band006,kinematic,constraint,0.06,0.8649248745731175,0.7250241637229919,0.9033997074953612,0.7447675683432702,0.004291642766911536,0.3131510416666667,0.2805989583333333,0.3033854166666667,0.0061624654739228886,0.0003100297111953883
learned_compliant,learned,compliant,0.06,0.5280309238260394,0.8636670112609863,0.4959085762970154,0.018779877282219047,0.0035442672530189155,1.0,1.0,0.78515625,3.0542652442733242e-06,4.1749449629828917e-05
learned_constraint,learned,constraint,0.06,0.5491526097535778,0.8529241681098938,0.5041289794915397,0.0,0.0037713369261473417,0.0,0.0,0.0,4.5699502086524064e-08,0.0
