rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/alpha_loss,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
-0.03987453701964117,-0.0012816657608105816,0.027864266446193896,-0.9763333339265917,0.0,1162.8230522053584,67.42653177142257,2122,0,2000,0.0003,,,,,,,,,,,,,,,
0.03381647872505701,0.04770356101298444,-0.03296048166476596,-0.9711047008742724,0.0,1182.4106305510704,135.45849955614847,2141,1,4000,0.0003,,,,,,,,,,,,,,,
0.16796290568599917,-0.010235927419923161,-0.03276508979673829,-0.9650729656353905,0.0,1194.2132894943443,31.38655948525914,2152,2,6000,0.0003,,,,,,,,,,,,,,,
-0.032887191985719384,-0.008675402105272715,0.15146821694392482,-0.9586577933898882,0.0,1207.4091392165797,-92.82494607801772,2157,3,8000,0.0003,,,,,,,,,,,,,,,
-0.12557743028795826,-0.02801264451372036,0.025855542251269476,-0.9520678597269036,0.0,1211.993900955207,-47.05320677715566,1481,6,10000,0.0003,-0.2783929109573364,1.0,-0.0,729281.25,92.17185974121094,1,,,,,,,,,
-3.4794140976667163,0.13077444504017616,-0.9477299908035495,-0.09108960447093789,0.0,2867.997170035608,13321.629549350879,164,72,12000,0.0003,-517492.875,2.1444456577301025,-8.194169998168945,11467102208.0,187410.40625,2001,11311.0,6528865.800091,,,,,,,
20.0,-0.044271495944887475,2.1967204174694857,0.20665942287424496,0.0,3283.031259003417,40473.30303481527,98,141,14000,0.0003,-4124564.0,3.9840948581695557,-15.44797420501709,883856900096.0,3542096.0,4001,4643.666666666667,2566303.9026653334,,,,,,,
20.0,0.20738405726623205,2.001668076466397,-0.08907256864607271,0.0,2469.8653970943747,20539.769937223264,76,209,16000,0.0003,-11778936.0,7.280442714691162,-21.669727325439453,4752144859136.0,8552058.0,6001,3812.75,2073352.11151875,,,,,,,
20.0,-0.08017146391245826,2.192182981196614,0.15825037431358074,0.0,3315.503889485771,40420.58371018205,64,278,18000,0.0003,-26443124.0,13.143138885498047,-27.016746520996094,16522961485824.0,16375711.0,8001,2972.3333333333335,1571140.7411405,,,,,,,
20.0,0.22759675796192125,1.9903498839970242,-0.03154897571990326,0.0,2410.470404005034,19210.843234079042,57,347,20000,0.0003,-47784164.0,23.511940002441406,-30.508453369140625,58013545136128.0,26471718.0,10001,2733.1428571428573,1428309.8618390001,,,,,,,
20.0,-0.0882626496296832,2.1536979011207045,0.1598305110789398,0.0,3319.420372469861,44051.38141039728,52,415,22000,0.0003,-75689776.0,41.876007080078125,-33.360206604003906,134347868864512.0,42075360.0,12001,2422.8888888888887,1248325.7980149998,,,,,,,
20.0,0.21964954470350145,1.9791508105556475,-0.027975560518650584,0.0,2411.0784477657767,20216.107074234897,49,484,24000,0.0003,-123963712.0,74.90340423583984,-37.284645080566406,401663999344640.0,62130204.0,14001,2313.2,1183779.0249873,,,,,,,
20.0,-0.08240289861343539,2.1943862963287093,0.11200159609388169,0.0,3334.9278732924054,40909.910567278705,47,552,26000,0.0003,-183437248.0,135.55133056640625,-41.48242950439453,645722697367552.0,76710000.0,16001,2146.25,1084190.3846119998,,,,,,,
20.0,0.1807836516589132,1.9865009596985361,-0.0047018236727270546,0.0,2411.4690861582467,19991.082897659657,45,621,28000,0.0003,-240530256.0,243.54127502441406,-43.37208938598633,1314347502534656.0,109839616.0,18001,2082.4615384615386,1046300.8101905384,,,,,,,
20.0,-0.04092957188345771,2.1723643667518844,0.09094888224148133,0.0,3302.1565511875565,41006.6189171208,43,689,30000,0.0003,-303158976.0,432.6619873046875,-43.803550720214844,1514215818919936.0,133410696.0,20001,1980.9333333333334,986308.0325239333,,,,,,,
20.0,0.17297428123490055,1.9651720727894408,0.027916236573871107,0.0,2400.3086132096937,21176.53079755793,42,758,32000,0.0003,-373518464.0,773.8515625,-46.15711975097656,3504631841816576.0,178912560.0,22001,1940.3125,962713.2692925,,,,,,,
20.0,-0.02984026999570348,2.229671101976017,0.08969478362136214,0.0,3382.9880617619738,40763.89079978537,41,826,34000,0.0003,-505990752.0,1405.5831298828125,-50.45664978027344,5220505904742400.0,216788784.0,24001,1869.388888888889,920188.8324810555,,,,,,,
20.0,0.08986241865502301,2.0504551526095214,0.11282013345093903,0.0,2527.458608853777,21694.12866699995,40,895,36000,0.0003,-623570688.0,2556.9013671875,-54.53075408935547,4.306903869109043e+16,261008304.0,26001,1839.3157894736842,901856.7721905789,,,,,,,
20.0,0.05660817530909086,2.147666315775017,0.0277890916215745,0.0,3249.6181786370657,40235.63708459208,39,963,38000,0.0003,-736722560.0,4629.890625,-56.73143005371094,1.144342496411648e+16,328507584.0,28001,1788.5238095238096,871871.3292143332,,,,,,,
20.0,0.06617986936274976,2.033005413792784,0.13063180102219915,0.0,2566.32748057031,23745.40763506141,38,1032,40000,0.0003,-842762688.0,8325.7880859375,-58.03968811035156,1.1139680581976064e+16,339168704.0,30001,1767.590909090909,859764.6116836817,,,,,,,
20.0,0.08690482982004288,2.174767870775155,-0.016476169324252745,0.0,3203.9059749758067,36903.5117548427,38,1101,42000,0.0003,-1095817728.0,14935.9521484375,-57.48492431640625,1.6826980712316928e+16,435916800.0,32001,1727.6666666666667,835103.2420673751,,,,,,,
20.0,0.01903128869396647,2.0956139529834585,0.18753226588209654,0.0,2770.318952412127,27702.247166699013,37,1169,44000,0.0003,-1289978240.0,26763.96875,-58.303287506103516,1.7288418469452186e+17,513895872.0,34001,1711.64,825879.6264654401,,,,,,,
20.0,0.13320534549322582,2.0785230450224907,-0.08311799807295547,0.0,2964.936900657293,33494.14325824692,37,1238,46000,0.0003,-1453817472.0,47967.01171875,-57.86665725708008,2.4751192152211456e+16,566040640.0,36001,1681.7037037037037,807865.4008697408,,,,,,,
20.0,-0.012671124118855768,2.2605295511019876,0.2736338122903129,0.0,3319.5981961493485,40806.13409148764,36,1307,48000,0.0003,-1636573568.0,85302.34375,-55.046844482421875,2.854891562247127e+17,682145920.0,38001,1655.0344827586207,791654.3407033103,,,,,,,
20.0,0.18286337943201406,1.9626606916164104,-0.10327602296752315,0.0,2458.876616644761,20385.883240798714,36,1376,50000,0.0003,-1914832896.0,151956.96875,-54.270545959472656,5.924006300693299e+16,784973184.0,40001,1642.4666666666667,783832.7776718333,,,,,,,
20.0,-0.055992685021058704,2.1892379742454517,0.20110519307092625,0.0,3313.4704407628674,41601.11113078415,35,1445,52000,0.0003,-2166950912.0,268252.59375,-51.44566345214844,4.415267611974042e+16,776063424.0,42001,1621.96875,771808.6440779064,,,,,,,
20.0,0.21021345065120497,1.968063484554643,-0.07232635370420559,0.0,2399.4272840393687,20185.36496808176,35,1514,54000,0.0003,-2517276672.0,481647.40625,-51.567718505859375,1.0162963787179622e+17,943151872.0,44001,1612.8484848484848,766502.3075344245,,,,,,,
19.98,-0.069035309017243,2.160079859111674,0.19788569596754846,0.0,3313.0010798332696,43314.56140631552,35,1583,56000,0.0003,-2975343360.0,868513.6875,-52.374244689941406,1.2766687208144896e+17,1145024000.0,46001,1596.9142857142858,757775.1715000002,,,,,,,
20.0,0.2261114981579515,2.0178213267373852,-0.059440367461625995,0.0,2465.2659583467193,20328.371679734773,35,1652,58000,0.0003,-3047813120.0,1571816.0,-56.05030059814453,1.3558260847712666e+17,1231773184.0,48001,1589.25,753250.7753466391,,,,,,,
20.0,-0.09482118779688295,2.16816231675199,0.1513918667614536,0.0,3301.2382715568483,41237.48952192162,34,1722,60000,0.0003,-3625947648.0,2859838.75,-57.27275085449219,1.222181391307899e+18,1431095680.0,50001,1574.0,743974.1720739476,,,,,,,
20.0,0.23436157841888416,1.9702655105170588,-0.019261874084738655,0.0,2415.2095481769506,21002.052308598428,34,1792,62000,0.0003,-3841421824.0,5192004.0,-58.33509826660156,1.8132668164918477e+17,1505700864.0,52001,1567.8974358974358,740691.4828352053,,,,,,,
20.0,-0.09206450750036313,2.1590836375374836,0.1494110806627983,0.0,3306.027044420383,42798.308638570044,34,1862,64000,0.0003,-4233388032.0,9383616.0,-58.75124740600586,2.1834651660189696e+17,1592148352.0,54001,1556.2926829268292,734217.6749202197,,,,,,,
20.0,0.19853861352298965,2.008611517791182,-0.0211020477892585,0.0,2453.998266059984,20452.35322626146,34,1933,66000,0.0003,-4778120192.0,16923418.0,-57.01210403442383,5.233118376854815e+17,3131429376.0,56001,1550.8095238095239,731082.185297524,,,,,,,
19.98,-0.05963998287932437,2.151515568271945,0.13918271271251859,0.0,3292.667355642399,42249.287128503514,33,2004,68000,0.0003,-4932748288.0,29999864.0,-54.12939453125,1.5065302165356544e+18,8799026176.0,58001,1540.159090909091,724923.9725148865,,,,,,,
20.0,0.16909039714572047,2.0208313276237657,0.014783480927607326,0.0,2457.971015612366,20460.92913377627,33,2075,70000,0.0003,-5320541184.0,53899892.0,-55.22804641723633,4.1139090669866844e+18,15696752640.0,60001,1535.3333333333333,722078.8780560668,,,,,,,
20.0,-0.029523617333521084,2.1949461632565797,0.08086818367344262,0.0,3329.2278164682734,40178.571188245834,33,2147,72000,0.0003,-5272569856.0,97456112.0,-54.58414077758789,7.568964378330923e+18,12960665600.0,62001,1525.2553191489362,715809.6065850001,,,,,,,
20.0,0.11329588234689375,2.0320643195412558,0.06777583220479663,0.0,2504.0698012978,20945.29056980494,33,2220,74000,0.0003,-4622722048.0,174554064.0,-53.2802848815918,2.374621199870617e+19,14544943104.0,64001,1520.2083333333333,712569.3586229375,,,,,,,
20.0,0.03226766922154917,2.1756226599489255,0.04973936498997317,0.0,3269.5317215186656,40150.938219779506,33,2293,76000,0.0003,-3836870144.0,311886336.0,-50.081207275390625,9.191991095388747e+19,49775419392.0,66001,1512.06,707800.5789458599,,,,,,,
20.0,0.05998064152136383,2.0804313263137004,0.16230724033719654,0.0,2644.7756781462826,23566.89772160329,32,2367,78000,0.0003,-2634574848.0,554250432.0,-48.19190216064453,1.9057965226418137e+20,38507929600.0,68001,1507.4313725490197,704816.9056709216,,,,,,,
19.940000000000005,0.09441454535310631,2.1485622739446613,-0.0383960422383277,0.0,3154.8460200817763,36403.163360135906,32,2441,80000,0.0003,-1016115456.0,965928640.0,-41.669464111328125,5.884013078435825e+20,87305388032.0,70001,1499.1509433962265,699513.8060091321,,,,,,,
20.0,0.017782741449113435,2.0915617182056927,0.18561586401326474,0.0,2767.7886729244146,27795.848198767955,32,2515,82000,0.0003,1644648832.0,1712971776.0,-41.36045455932617,2.124199466180448e+21,123164540928.0,72001,1496.0740740740741,697849.9150204444,,,,,,,
19.960000000000008,0.1417421866079158,2.122715469664356,-0.06787784876484793,0.0,2998.603690813981,32864.52497667567,32,2590,84000,0.0003,5439318016.0,3052281600.0,-38.52994918823242,7.20957620447699e+21,351653494784.0,74001,1488.8214285714287,693195.2529500537,,,,,,,
20.0,-0.023336959189981292,2.2154644669583226,0.24828311048177518,0.0,3279.24461046625,40876.834464206295,32,2666,86000,0.0003,11653709824.0,5467893248.0,-36.28852844238281,2.3555073548244476e+22,560502669312.0,76001,1482.5862068965516,689470.0242915518,,,,,,,
19.919999999999963,0.17548980398313357,1.9462297020295964,-0.12343826741265775,0.0,2455.9675327918612,21237.779060134646,32,2742,88000,0.0003,22749140992.0,9771288576.0,-35.97059631347656,6.1998579090214565e+22,844640681984.0,78001,1480.1186440677966,688167.0915126102,,,,,,,
19.980000000000015,-0.04474493000878079,2.189508197970862,0.2068887584268077,0.0,3277.6204098392886,40194.408858138806,31,2818,90000,0.0003,41892102144.0,17467181056.0,-35.76666259765625,2.1865260818380208e+23,1530830389248.0,80001,1474.360655737705,684591.6771318853,,,,,,,
