arm,seed,stage,step,dataset,accel_corr,accel_nrmse,mass_rel_frob_err,coriolis_corr,coriolis_nrmse,gradV_combined_corr,gen_rmse,quad_corr
constraint,0,100000,100000,reference,0.3565415143966675,3.279482577675163,0.29340435699268674,-0.03483846224789403,1.8158348096148882,0.2021094533855414,28.477018924160944,0.7413430213928223
constraint,0,100000,100000,policy,0.9268315434455872,0.39172514543544695,0.3288519167892574,0.5281642568066308,1.37330419279371,0.4025151798583287,95.95298811462096,0.3157900273799896
constraint,0,100000,100000,best_policy,0.8118901252746582,0.6924712501441044,0.3374826572505348,-0.3336717569361012,6.278110755056907,0.9603781264440658,29.40613393485304,-0.14783762395381927
compliant_ctrl,0,100000,100000,reference,0.5422163009643555,1.8474863809075488,0.31389255616619666,-0.039016940662500825,1.5718532485441787,-0.21328280660818133,14.615293619654993,0.09690561145544052
compliant_ctrl,0,100000,100000,policy,0.9715441465377808,0.2510040106473526,0.3589884587490768,0.28709937874313435,1.7890472672584303,-0.2745662331596484,34.39263709947522,0.343074232339859
compliant_ctrl,0,100000,100000,best_policy,0.9081504344940186,0.4667682215447406,0.4029233206099238,0.42765162148725977,1.1029543844341394,0.5980953866730097,63.92152752036582,0.38821086287498474
compliant_old,0,100000,100000,reference,0.4976244568824768,1.453622618766651,0.19817498584140053,0.2197738950626943,1.2835962819990538,0.7906128018962187,11.313519393962423,0.28415578603744507
compliant_old,0,100000,100000,policy,0.9453591704368591,0.3842569036272493,0.16113969271512707,0.7885246248002982,0.6329620040551295,0.6297673551563086,21.886378022460708,0.29703715443611145
compliant_old,0,100000,100000,best_policy,0.9251777529716492,0.41931530826311286,0.16884214199161446,0.2174591740808586,1.1556767550552656,0.4026473906323065,35.482485641076934,0.2599291503429413
constraint,0,188000,189579,reference,0.4102610647678375,2.686915698417789,0.26966989591464446,0.03242340622233313,1.65447193914766,0.5287813369403627,13.33886233684544,-0.29950231313705444
constraint,0,188000,189579,policy,0.8906521797180176,0.5253805200181371,0.30423142311467677,0.4468132792478152,1.543610920265983,0.7005495859661496,29.416885125513048,-0.17596863210201263
constraint,0,188000,189579,best_policy,0.8989386558532715,0.46634420360927775,0.36972057834677124,-0.3365598614100885,3.973825518492664,0.7525653296924536,15.768467993709985,-0.19458019733428955
compliant_ctrl,0,188000,196936,reference,0.5655651092529297,1.6589765527011533,0.5057316055044789,0.18294256155746413,1.2101442239392632,0.12472967174327423,34.35180292656826,0.5306731462478638
compliant_ctrl,0,188000,196936,policy,0.9082387089729309,0.5052417276268135,0.522565510732533,0.24797220814343032,1.9351848114153067,0.9118297884987785,38.82081438866547,-0.5371618866920471
compliant_ctrl,0,188000,196936,best_policy,0.9266079664230347,0.3980599404261559,0.5282694092172534,0.5049296169617878,0.9586565769979114,0.6644813953088297,64.20683141961625,0.39894917607307434
compliant_old,0,188000,181845,reference,0.4908278286457062,1.4381234878383833,0.28730105779894083,0.07070969921771271,1.6097332161029845,0.7492790484276158,8.988028911130428,-0.3535670340061188
compliant_old,0,188000,181845,policy,0.8610402941703796,0.5146241858633215,0.2799094011744643,0.5466330107592707,0.8724332154552907,0.7909652097263498,13.578251946041108,0.0888056755065918
compliant_old,0,188000,181845,best_policy,0.9319338798522949,0.40827812822273946,0.28908737070016943,0.5252684334110013,0.9830039801890066,0.3857482199420106,28.37880770918206,0.029387488961219788
constraint,1,100000,100000,reference,0.5281097292900085,1.9287538684600651,0.40908812405060985,0.05949968424294883,2.0920108855675834,0.5256131474013997,14.196627680030176,0.28513744473457336
constraint,1,100000,100000,policy,0.9419077634811401,0.3686903719127921,0.3884098991326401,0.6003553093178358,1.1827025537289628,0.7708819916617509,26.207885044581907,0.30459222197532654
constraint,1,100000,100000,best_policy,0.9297642707824707,0.4493597248975063,0.29076696747089437,0.8561863251274533,0.6094132706416994,0.6585915788371107,17.28820777434318,0.059375304728746414
compliant_ctrl,1,100000,100000,reference,0.4179900288581848,2.632281335309265,0.3714054698505903,0.10816040470309898,2.1016723553027035,0.09355700927460261,572.8339830099982,0.6522186398506165
compliant_ctrl,1,100000,100000,policy,0.9482510089874268,0.3375210220213829,0.35504810436840706,0.34483860318857446,1.5981371262915098,0.5817948304495646,993.7253544920317,0.563090443611145
compliant_ctrl,1,100000,100000,best_policy,0.9313831329345703,0.3734231497163178,0.3733181138485898,0.17954776456648885,2.754480677199144,0.4877676465403803,2142.166960785776,0.5652787089347839
compliant_old,1,100000,100000,reference,0.5540259480476379,1.1605156925156985,0.22812923352549114,-0.19721563968402997,2.598866628289345,0.8746338819909742,18.131804764213676,0.3616320490837097
compliant_old,1,100000,100000,policy,0.8787951469421387,0.5108645842094565,0.29623460725387185,0.623328377184865,0.7968552929160541,0.8702482431326962,52.67468034015275,0.13786672055721283
compliant_old,1,100000,100000,best_policy,0.8603174686431885,0.5240843682132079,0.39225985087549375,0.11457532906290328,1.4013460372309892,0.8989559750558258,70.05103726081833,0.4154275357723236
constraint,2,100000,100000,reference,0.5381947755813599,2.2726143874566795,0.24119409140000772,0.673385505708861,0.7501699865096524,0.9591565942981927,16.57832204511289,0.34142640233039856
constraint,2,100000,100000,policy,0.9649853706359863,0.3092056215702724,0.3028610276353152,-0.05336903408380292,1.3000676845680605,0.7890416261488644,12.071043489138257,0.05108237639069557
constraint,2,100000,100000,best_policy,0.8757092356681824,0.5502423055214714,0.23162082614395502,0.6808699369092652,0.758928385169193,0.914292261929956,42.83270804252793,0.5897720456123352
compliant_ctrl,2,100000,100000,reference,0.5349996089935303,2.0048527431470626,0.33843547212711833,-0.10739771989318535,1.819323927988098,0.24255745660795008,17.48620352075367,-0.13502860069274902
compliant_ctrl,2,100000,100000,policy,0.9396696090698242,0.39761530960854813,0.2718423395530752,0.738407480752876,0.6981514112658842,0.8231178588867315,28.361772853709358,0.28099775314331055
compliant_ctrl,2,100000,100000,best_policy,0.8636799454689026,0.5257103142182874,0.3896566903601293,0.6138504926809879,1.0028233330732519,0.420944363291618,95.61363380371968,0.04319222271442413
compliant_old,2,100000,100000,reference,0.4247734248638153,1.5964624396824365,0.27075307059364345,-0.13588181787713485,1.2902941551217704,0.9146708346268949,11.507828133040247,0.6991204023361206
compliant_old,2,100000,100000,policy,0.9452962875366211,0.3618586930654346,0.20629630001589583,0.432581965860101,0.9824385850968321,0.2852077135948723,16.658961375243575,0.618989884853363
