arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
fixed,0,train,24.737857969661167,24.737857969661167,0.0,0.21209568247868674,457.02033743175457,0.0019727310226515895,34.984614189134476,457.02033743175457,10.604784355429528,0.0,0.02277340553700924,1.4281733456300572e-05,0.00015512792742811143,0.0047128754667937756,0.017492488026618958,0.0,0.0029296875
fixed,0,heldout,33.49460603814744,33.49460603814744,0.0,0.21885941865600295,457.0190318840821,0.0019696956595064655,47.36852608453956,457.0190318840821,10.942971180727396,0.0,0.021779824048280716,1.3309080713952426e-05,0.00014880532398819923,0.00468828110024333,0.017061585560441017,0.0,0.00537109375
moving,0,train,24.737857969661167,24.737857969661167,0.0,0.21209568247868674,457.02033743175457,0.0019727310226515895,34.984614189134476,457.02033743175457,10.604784355429528,0.0,0.02277340553700924,1.4281733456300572e-05,0.00015512792742811143,0.0047128754667937756,0.017492488026618958,0.0,0.0029296875
moving,0,heldout,33.49460603814744,33.49460603814744,0.0,0.21885941865600295,457.0190318840821,0.0019696956595064655,47.36852608453956,457.0190318840821,10.942971180727396,0.0,0.021779824048280716,1.3309080713952426e-05,0.00014880532398819923,0.00468828110024333,0.017061585560441017,0.0,0.00537109375
fixed,1000,train,24.332097644324342,24.332097644324342,0.0,1.3530623511804432,448.847032270109,0.1035470778055314,34.410626695085725,448.847032270109,18.9056864171292,1.5486552196632204,8.80319881439209,0.0346355140209198,0.2633271813392639,1.6626479625701904,9.381375312805176,0.010009765625,0.0029296875
fixed,1000,heldout,33.04840801918582,33.04840801918582,0.0,1.4592930754914917,450.50296627894124,0.10356605327426395,46.737392088966416,450.50296627894124,17.79911832847426,1.6925993575608151,8.721663475036621,0.03231683373451233,0.34005725383758545,1.8231881856918335,8.92212200164795,0.0107421875,0.00537109375
moving,1000,train,24.037587263674528,24.413184095911777,4.131056732482819,0.20601960690809992,444.0831755762655,0.005181467389909814,33.99428152013117,444.0831755762655,19.40888477514443,0.47622758573294643,13.159563064575195,0.011788429692387581,0.15510569512844086,3.665511131286621,18.370384216308594,0.0,0.0029296875
moving,1000,heldout,32.577780278330366,32.888853879904275,4.345900971445553,0.23812409012791974,444.50697881883497,0.005148524359752702,46.07193841395257,444.50697881883497,20.16695518508363,0.5205401204239409,13.157228469848633,0.006378118880093098,0.12673404812812805,3.5413782596588135,18.36932373046875,0.0,0.00537109375
fixed,2000,train,23.895105364303486,23.895105364303486,0.0,1.8321411759745425,440.17127460580963,0.06997776364930698,33.79270962581908,440.17127460580963,36.1227994917083,2.124334908087281,18.1789608001709,0.0985744446516037,1.0742733478546143,2.7486772537231445,29.66754913330078,0.132080078125,0.0029296875
fixed,2000,heldout,32.621520592402014,32.621520592402014,0.0,2.2882733162829467,444.02507462478513,0.06964345791613982,46.13374428018809,444.02507462478513,32.865396406468015,2.604869561573579,18.0963191986084,0.09451448917388916,1.120668649673462,3.073333740234375,29.33397674560547,0.12255859375,0.00537109375
moving,2000,train,23.301181290289826,25.14974049479861,9.36073282507195,0.26428922855022025,430.4665744245628,0.029482322526361057,32.952833411386095,430.4665744245628,27.487343606636603,0.5573692415450715,26.656322479248047,0.038991257548332214,0.2686663269996643,7.896604061126709,41.91743087768555,0.02197265625,0.0029296875
moving,2000,heldout,31.637787097744916,33.25188991929491,10.110640545878317,0.3155120247827419,431.67137599800634,0.02952257273855628,44.74257785713926,431.67137599800634,29.198942500901964,0.5990982158118862,26.65536117553711,0.030973944813013077,0.2140166461467743,7.782905578613281,42.27566909790039,0.001953125,0.00537109375
fixed,3000,train,23.64344472051569,23.64344472051569,0.0,1.9550936658638371,435.3259760500331,0.032571603503135815,33.43686432060888,435.3259760500331,55.481280744276646,2.345030585321925,25.08547019958496,0.12419208884239197,1.6413660049438477,3.221421241760254,56.988712310791016,0.1708984375,0.0029296875
fixed,3000,heldout,32.41757500599345,32.41757500599345,0.0,2.7609430640786856,440.73428828932356,0.032741335025175365,45.84536254130186,440.73428828932356,52.12656908278717,3.1336700571793927,24.970134735107422,0.12057708203792572,1.8291923999786377,3.740421772003174,57.598472595214844,0.16845703125,0.00537109375
moving,3000,train,22.602073974624336,27.160173071798656,14.994782870168645,0.3001980450168036,417.5413059578151,0.030847394101902022,31.964144667847105,417.5413059578151,33.062067216847176,0.6114786535900717,39.558929443359375,0.08714953809976578,0.8122857213020325,10.638312339782715,52.80204391479492,0.1318359375,0.0029296875
moving,3000,heldout,30.77295391720052,34.798926092818604,16.178935901189337,0.38266633335514777,419.8599209853984,0.030642708341846434,43.519517996006336,419.8599209853984,35.52861205675398,0.6354302430875487,39.553001403808594,0.06304629147052765,0.7392975091934204,10.582515716552734,53.04849624633789,0.0966796875,0.00537109375
fixed,4000,train,23.394425575106467,23.394425575106467,0.0,2.291133672416561,430.1452463499791,0.025690490313198547,33.08470395782768,430.1452463499791,74.5194798485976,2.7754035130161254,31.428075790405273,0.15446831285953522,2.162266731262207,3.852315902709961,85.3199234008789,0.201416015625,0.0029296875
fixed,4000,heldout,32.20369451810465,32.20369451810465,0.0,3.4059210668765436,436.9632618960451,0.025793030343287632,45.54289424213609,436.9632618960451,72.25642791088552,3.8466691793612715,31.327495574951172,0.15067633986473083,2.2531726360321045,4.580784320831299,88.255859375,0.19921875,0.00537109375
moving,4000,train,21.877579784947418,30.232349310769887,20.82041000816402,0.40203776239289396,404.1247961115731,0.04062406437151635,30.9395433737939,404.1247961115731,38.45042607286596,0.6221813559155609,52.96969223022461,0.23039510846138,1.9112303256988525,13.63916301727295,67.06278228759766,0.28369140625,0.0029296875
moving,4000,heldout,29.928121197969624,37.37245306448109,22.334401737591318,0.5109509175297068,408.30540181056114,0.04026678344039821,42.3247357400713,408.30540181056114,40.422584780971434,0.6459579109020098,52.964813232421875,0.18641754984855652,1.6391206979751587,13.880544662475586,67.41837310791016,0.25537109375,0.00537109375
fixed,5000,train,23.32503761990752,23.32503761990752,0.0,2.224220615767107,428.9769649749974,0.009143017352098885,32.98658327783337,428.9769649749974,82.34496953322031,2.762314227903535,35.84653854370117,0.1875552386045456,2.436866283416748,4.014023780822754,110.99578857421875,0.239990234375,0.0029296875
fixed,5000,heldout,32.198281338599166,32.198281338599166,0.0,3.566848948825923,436.6511086631841,0.009214631065049063,45.53524522180308,436.6511086631841,81.87193474112311,4.015671871530676,35.63338088989258,0.18485243618488312,2.5885567665100098,4.869311809539795,107.39307403564453,0.2294921875,0.00537109375
moving,5000,train,21.22168293513276,33.60583852207409,26.09882584437597,0.6032152794621374,391.9170628769012,0.0491941567897421,30.011951504917963,391.9170628769012,45.392224310479314,0.5248314439425457,65.171142578125,0.48761582374572754,3.585390090942383,18.43454360961914,89.90200805664062,0.416748046875,0.0029296875
moving,5000,heldout,29.24032943346511,40.23883559046575,27.693575869447827,0.7119905473061858,398.8621273281817,0.049649645149432445,41.35204064696045,398.8621273281817,46.426853375082736,0.5296796432386731,65.1674575805664,0.4435674846172333,3.703639268875122,19.365360260009766,88.80418395996094,0.4306640625,0.00537109375
fixed,6000,train,23.08653307081073,23.08653307081073,0.0,2.5669362837455814,423.8915691411183,0.02652419831830248,32.64927740281826,423.8915691411183,99.67764345629001,3.2082853385936616,42.50580596923828,0.2317388951778412,3.416957378387451,4.717318534851074,145.39303588867188,0.252197265625,0.0029296875
fixed,6000,heldout,32.01902740371598,32.01902740371598,0.0,4.222578129077975,433.09946926623644,0.026519328798907053,45.28173504278552,433.09946926623644,99.10285507755026,4.74400872821477,42.28736877441406,0.23411691188812256,3.1789238452911377,5.709039688110352,142.96121215820312,0.24755859375,0.00537109375
moving,6000,train,20.54860309398416,36.91421526837024,30.712332380715235,0.8896327280292331,379.2848114051174,0.14136468882151532,29.059769342734725,379.2848114051174,57.078451537068915,0.5069179047621031,77.79334259033203,0.7788391709327698,6.159348487854004,25.431926727294922,115.68067932128906,0.553466796875,0.0029296875
moving,6000,heldout,28.66072506301599,43.03951168243907,32.12222815833516,0.9789160421743397,390.84422571706534,0.14239832011445708,40.53213595400586,390.84422571706534,59.256927948214866,0.5128764434780904,77.7900619506836,0.7556683421134949,5.6191301345825195,27.77152442932129,121.96917724609375,0.54248046875,0.00537109375
fixed,7000,train,23.092336065209707,23.092336065209707,0.0,2.475869791240163,424.1837136620911,0.05657923523766021,32.65744583838898,424.1837136620911,100.24384408846541,3.162497920639112,47.72832489013672,0.2807497978210449,3.7183070182800293,4.950043201446533,159.48670959472656,0.26708984375,0.0029296875
fixed,7000,heldout,32.09453871945017,32.09453871945017,0.0,4.422840888505892,433.76940499758547,0.056370200892502345,45.38849693070948,433.76940499758547,106.94440758151914,4.93942371297278,47.430118560791016,0.28392672538757324,3.4999775886535645,6.007230758666992,158.89462280273438,0.2607421875,0.00537109375
moving,7000,train,19.949611801421327,40.04134415740847,34.83276122845722,1.0970650724992117,368.0171521960763,0.2882198034311738,28.2115393305599,368.0171521960763,69.1494104386307,0.5676055587162991,89.04963684082031,0.9733119010925293,10.257381439208984,34.22245788574219,160.20352172851562,0.65771484375,0.0029296875
moving,7000,heldout,28.151292110786166,45.80926735411646,36.199298599426115,1.2292836353075371,383.7556133159377,0.2870896996139669,39.81090396509477,383.7556133159377,76.21402853910699,0.6212224914328848,89.04839324951172,0.9405279159545898,6.931587219238281,38.26715087890625,158.7220458984375,0.62646484375,0.00537109375
fixed,8000,train,22.75926871165914,22.75926871165914,0.0,2.9608894685445617,416.9192428373361,0.044012199212233115,32.18643639027679,416.9192428373361,129.13358960444668,3.7728724597286853,53.865264892578125,0.2920494079589844,4.317212104797363,5.67336893081665,206.71763610839844,0.27392578125,0.0029296875
fixed,8000,heldout,31.853367288453676,31.853367288453676,0.0,5.105936615932082,429.04447770672505,0.044098211104253854,45.047442442096965,429.04447770672505,130.2127651794189,5.718270786696179,53.55052947998047,0.2988264560699463,4.076035976409912,6.808815002441406,198.08116149902344,0.265625,0.00537109375
moving,8000,train,19.326561214085,44.51193212831776,40.179594011441154,1.2160367953753295,356.3568213927854,0.155856177562179,27.33144060556386,356.3568213927854,79.17909531452146,0.7078298767828235,100.71533203125,0.9602893590927124,12.796696662902832,41.36299133300781,216.4466094970703,0.721923828125,0.0029296875
moving,8000,heldout,27.67871901040398,50.219319039779286,41.98006805961645,1.390198894593041,377.19774285352236,0.1555498353866107,39.143310748613345,377.19774285352236,89.69585816741768,0.7912969615461686,100.71439361572266,0.8638166785240173,7.559877872467041,46.86547088623047,217.95155334472656,0.70751953125,0.00537109375
fixed,9000,train,22.566275545573472,22.566275545573472,0.0,3.1776369524994172,412.7747785803568,0.06750309667678701,31.913461537875104,412.7747785803568,137.6421761800504,4.076261015189754,58.0328369140625,0.33902865648269653,5.396492004394531,5.9738545417785645,214.68032836914062,0.336181640625,0.0029296875
fixed,9000,heldout,31.68702474713407,31.68702474713407,0.0,5.334160916265587,426.22774535262295,0.0676442971778271,44.81216909389718,426.22774535262295,138.34022342321308,6.016693751477441,57.53396987915039,0.3462294042110443,5.601804256439209,7.1186323165893555,198.81207275390625,0.32958984375,0.00537109375
moving,9000,train,18.750534150626397,49.77125803230025,46.264197544826615,1.4215705008625816,345.4259259092693,0.5618512784829699,26.511306738983663,345.4259259092693,83.21320155086727,0.9519072943677741,111.65199279785156,1.2102588415145874,16.34345054626465,45.40888977050781,254.56063842773438,0.791259765625,0.0029296875
