arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,eta_abs_p50,eta_abs_p90,eta_abs_p99,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
fixed_labels,0,train,0.6250190238333239,0.6250190238333239,0.0,0.0034982143408028,10.000148356694524,6.038639252209868e-06,0.8839103802256522,10.000148356694524,0.1749107210654954,0.0,0.00032342408667318523,1.8459081729815807e-06,1.0278560694132466e-05,4.2431639712958713e-07,6.744795427948702e-06,9.236109690391459e-06,9.142131602857262e-05,0.000451829080702737,0.0,0.00390625
fixed_labels,0,heldout,0.441956966228599,0.441956966228599,0.0,0.003489958327747655,10.000033381769493,6.068380783657406e-06,0.6250215355962935,10.000033381769493,0.17449792056466656,0.0,0.0003719069645740092,1.9017213617189554e-06,9.925638551067095e-06,4.591769595663209e-07,6.971178208914353e-06,8.91606578079518e-06,9.188083640765399e-05,0.00046064567868597806,0.0,0.001953125
moving_labels,0,train,0.6250190238333239,0.6250190238333239,0.0,0.0034982143408028,10.000148356694524,6.038639252209868e-06,0.8839103802256522,10.000148356694524,0.1749107210654954,0.0,0.00032342408667318523,1.8459081729815807e-06,1.0278560694132466e-05,4.2431639712958713e-07,6.744795427948702e-06,9.236109690391459e-06,9.142131602857262e-05,0.000451829080702737,0.0,0.00390625
moving_labels,0,heldout,0.441956966228599,0.441956966228599,0.0,0.003489958327747655,10.000033381769493,6.068380783657406e-06,0.6250215355962935,10.000033381769493,0.17449792056466656,0.0,0.0003719069645740092,1.9017213617189554e-06,9.925638551067095e-06,4.591769595663209e-07,6.971178208914353e-06,8.91606578079518e-06,9.188083640765399e-05,0.00046064567868597806,0.0,0.001953125
online,0,train,0.6250190238333239,0.6250190238333239,0.0,0.0034982143408028,10.000148356694524,6.038639252209868e-06,0.8839103802256522,10.000148356694524,0.1749107210654954,0.0,0.00032342408667318523,1.8459081729815807e-06,1.0278560694132466e-05,4.2431639712958713e-07,6.744795427948702e-06,9.236109690391459e-06,9.142131602857262e-05,0.000451829080702737,0.0,0.00390625
online,0,heldout,0.441956966228599,0.441956966228599,0.0,0.003489958327747655,10.000033381769493,6.068380783657406e-06,0.6250215355962935,10.000033381769493,0.17449792056466656,0.0,0.0003719069645740092,1.9017213617189554e-06,9.925638551067095e-06,4.591769595663209e-07,6.971178208914353e-06,8.91606578079518e-06,9.188083640765399e-05,0.00046064567868597806,0.0,0.001953125
fixed_labels,100,train,0.6043340218749096,0.6043340218749096,0.0,0.15458795826491667,9.34892366877158,0.00024118837461090318,0.854657335906722,9.34892366877158,0.7552643486245547,0.16301895712842673,0.7476533651351929,0.000197451445274055,0.0017245544586330652,3.719937376445159e-05,0.00084831309504807,0.0015888779889792204,0.06572309136390686,0.35798993706703186,0.0,0.00390625
fixed_labels,100,heldout,0.44329320994346116,0.44329320994346116,0.0,0.15249451664080502,9.419631217534764,0.00024170970346100085,0.6269112230135734,9.419631217534764,0.767076748480902,0.15806856199421632,0.7559139132499695,0.00018714847101364285,0.0017266182694584131,3.642490992206149e-05,0.0007950306171551347,0.0014713980490341783,0.06589925289154053,0.35234135389328003,0.0,0.001953125
moving_labels,100,train,0.5938186467384936,0.6055149301177845,0.04497492281241414,0.13416195477476475,9.256404006798673,0.00020208125565381765,0.8397863594937928,9.256404006798673,0.8392557236345387,0.1446014169094701,0.8562578558921814,0.0002252131816931069,0.0019543501548469067,4.03339508920908e-05,0.0009745090501382947,0.0017948037711903453,0.07478412985801697,0.4055233895778656,0.0,0.00390625
moving_labels,100,heldout,0.4331078245127158,0.4485771247536084,0.04435611428919521,0.13215591481406713,9.333674117126819,0.00020281529179109496,0.6125069258173594,9.333674117126819,0.8521225533493177,0.14015321590338806,0.8656073212623596,0.00021439297415781766,0.0019405335187911987,4.0137951145879924e-05,0.0009032250964082778,0.0016804477199912071,0.07500536739826202,0.39835211634635925,0.0,0.001953125
online,100,train,0.5959187170149017,0.6056726378577899,0.043323477450581384,0.11415348568702477,9.358823877005424,0.00016948037703981718,0.8427563146329874,9.358823877005424,0.7449771651409716,0.1236497782129446,0.7425910234451294,0.00020884709374513477,0.0017301354091614485,3.445884067332372e-05,0.0009169707773253322,0.001607162645086646,0.06488150358200073,0.3429224491119385,0.0,0.00390625
online,100,heldout,0.4310528353475977,0.4440184773096271,0.04266144139468012,0.11209741037921012,9.418694875752292,0.000170351058534886,0.6096007420459092,9.418694875752292,0.7557851842917211,0.11967101486729803,0.7507733106613159,0.00020129472250118852,0.0016822752077132463,3.5541877878131345e-05,0.0008655638666823506,0.0015293454052880406,0.0651654377579689,0.3383393883705139,0.0,0.001953125
