arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
fixed,0,train,24.738857814515583,24.738857814515583,0.0,0.19627080056537302,457.04121653526227,0.0001535866174911486,34.98602823857044,457.04121653526227,9.81354025590023,0.0,0.010182822123169899,4.1263901948696e-05,0.0003200547653250396,0.0013957396149635315,0.009037227369844913,0.0,0.0029296875
fixed,0,heldout,24.73893093983294,24.73893093983294,0.0,0.20950584173184836,457.04056803838597,0.00015238057611917358,34.98613165339128,457.04056803838597,10.475292333382374,0.0,0.010924408212304115,4.164316487731412e-05,0.0003095103311352432,0.001461503328755498,0.00890043843537569,0.0,0.0029296875
moving,0,train,24.738857814515583,24.738857814515583,0.0,0.19627080056537302,457.04121653526227,0.0001535866174911486,34.98602823857044,457.04121653526227,9.81354025590023,0.0,0.010182822123169899,4.1263901948696e-05,0.0003200547653250396,0.0013957396149635315,0.009037227369844913,0.0,0.0029296875
moving,0,heldout,24.73893093983294,24.73893093983294,0.0,0.20950584173184836,457.04056803838597,0.00015238057611917358,34.98613165339128,457.04056803838597,10.475292333382374,0.0,0.010924408212304115,4.164316487731412e-05,0.0003095103311352432,0.001461503328755498,0.00890043843537569,0.0,0.0029296875
fixed,1000,train,24.171459373484844,24.171459373484844,0.0,1.3541383487161773,445.8734786275902,0.0018221832100219534,34.183605619766105,445.8734786275902,23.386222472083123,1.5616904622277248,13.104864120483398,0.005940870847553015,0.05125713348388672,0.9893878698348999,16.952085494995117,0.0,0.0029296875
fixed,1000,heldout,24.243361872804446,24.243361872804446,0.0,1.6187725972640943,446.90450714980807,0.00182468959932229,34.285291109483154,446.90450714980807,23.41129441544999,1.8093798557604073,13.431392669677734,0.006405193358659744,0.04479857161641121,1.1608797311782837,16.958906173706055,0.0,0.0029296875
moving,1000,train,23.696617206110155,24.4085490151938,5.586580345418794,0.4244000447125193,437.7299324164451,0.000276238106502606,33.51207743410611,437.7299324164451,24.67359139087157,0.62840160080739,19.96558380126953,0.028067197650671005,0.24142849445343018,1.859587550163269,25.331607818603516,0.03515625,0.0029296875
moving,1000,heldout,23.733224669530202,24.558152904412264,5.997240214279112,0.5326813289030022,438.3661437489667,0.0002793423968320695,33.563848205334885,438.3661437489667,28.03883207880004,0.6775193781299806,19.969539642333984,0.02881104126572609,0.23390594124794006,2.1222712993621826,24.18311309814453,0.03564453125,0.0029296875
fixed,2000,train,23.61110615824478,23.61110615824478,0.0,2.0791730152972083,434.5304804942793,0.0014499754451582955,33.39114652013884,434.5304804942793,50.11928659111413,2.474389167612971,26.983959197998047,0.011198576539754868,0.4141697883605957,1.1484544277191162,55.710411071777344,0.000732421875,0.0029296875
fixed,2000,heldout,23.84130099415143,23.84130099415143,0.0,2.7461170399973707,437.5499564453057,0.001453552100454086,33.716691179216234,437.5499564453057,44.00676279715066,3.03774356118229,27.438318252563477,0.013149417005479336,0.3535541594028473,1.4141744375228882,55.08211898803711,0.00537109375,0.0029296875
moving,2000,train,22.575930112439096,26.081218777769447,12.770768093603003,0.6080985696814831,416.9441265527904,0.0004812157269423029,31.927186544572013,416.9441265527904,40.191396396093936,0.8014946915039466,40.31365203857422,0.09920189529657364,1.0968687534332275,3.6052136421203613,68.25555419921875,0.146240234375,0.0029296875
