rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
-0.21723398400296,0.009112458859480123,-0.0096584445744355,-0.991155684320137,0.0,1187.0570036036215,64.67660310150896,2147,0,2000,0.0003,,,,,,,,,,,,,,
-0.0049138985876926,-0.03257785591983317,0.0786462409935898,-0.9860113115132314,0.0,1193.9789159725863,-19.38344097020341,2164,1,4000,0.0003,,,,,,,,,,,,,,
-0.009895853701746163,0.005749312153009708,0.018427733352133505,-0.9834910742705385,0.0,1198.1209488821555,40.537331874402376,2171,2,6000,0.0003,,,,,,,,,,,,,,
-0.2357622986589017,-0.01998034027440858,-0.028275593599364452,-0.9771896714828486,0.0,1219.4029746164945,40.85467385584366,2169,3,8000,0.0003,,,,,,,,,,,,,,
0.0006334198852529127,-0.03827739378801219,-0.008815291796587727,-0.9737201181085273,0.0,1225.2523821370187,176.61824197996583,1531,6,10000,0.0003,0.20483487844467163,0.05000000074505806,2908795.5,4.820573329925537,1,,,,,,,,,
1.780450821518896,0.13883857377849113,0.10839861406138293,-0.9803480804189356,0.0,1170.8661720849066,-199.92389840670842,172,69,12000,0.0003,38860.52734375,0.05000000074505806,45952.30859375,690.6749267578125,2001,,,,,,,,,
0.7766335523128496,0.07593272608760435,-0.26481889595571423,-0.9790441147953773,0.0,1191.6022589125173,58.06308137899451,103,134,14000,0.0003,103021.453125,0.05000000074505806,10171.380859375,908.1906127929688,4001,,,,,,,,,
-5.413507803082463,-0.31506472420632314,-0.2649507791421154,-0.924185695152874,0.0,1100.4045381265516,-259.0395480277862,80,199,16000,0.0003,144019.546875,0.05000000074505806,47737.8125,1577.4287109375,6001,,,,,,,,,
-9.269068830013289,-0.6674940431055975,-0.14909947353824904,-0.7548638912612498,0.0,830.4673669308909,-171.0414243394798,67,264,18000,0.0003,159937.578125,0.05000000074505806,34403.3671875,1469.7178955078125,8001,,,,,,,,,
-6.011943701505665,-0.584962295860031,0.30774022956474434,-0.7533434429675238,0.0,856.2563681907,210.89811443320264,60,329,20000,0.0003,158136.859375,0.05000000074505806,44696.2109375,1652.4564208984375,10001,,,,,,,,,
-4.7503580188751195,-0.22477521008870124,0.14212258537533218,-0.9145931371051245,0.0,1036.8041969365654,116.43180353457718,55,395,22000,0.0003,160144.125,0.05000000074505806,51357.5078125,1459.931396484375,12001,,,,,,,,,
-6.586173912882807,-0.2632700111674034,-0.3014866815809139,-0.8816862929788172,0.0,1060.0091060841744,-219.59223043250873,52,460,24000,0.0003,171453.4375,0.05000000074505806,37237.67578125,1318.223876953125,14001,,,,,,,,,
-0.17968332588672925,0.08245345060979299,-0.7956825670726214,-0.5194553109167941,0.0,980.548383294334,992.1863679542059,49,525,26000,0.0003,168392.546875,0.05000000074505806,56469.21484375,1516.0657958984375,16001,,,,,,,,,
-10.068173635005957,-0.3061190997779667,-0.8325747511555615,-0.6823624787221269,0.0,1170.2464378093648,-14.329777481881068,47,589,28000,0.0003,180785.40625,0.05000000074505806,5100267.0,9443.9912109375,18001,26387.0,-69344745.162688,,,,,,,
0.9024142813682597,0.28247401029793046,-0.30160387142943496,-0.47824036733669206,0.0,1919.4048779881673,14171.525828940847,45,654,30000,0.0003,201461.125,0.05000000074505806,141970752.0,47105.90234375,20001,14336.5,-56558304.055026,,,,,,,
19.48766339540476,0.16432644453125078,1.6836462512121126,-0.16173256481300638,0.0,1952.2859259549084,18400.62123599049,44,718,32000,0.0003,201428.640625,0.05000000074505806,449781472.0,84832.3828125,22001,10346.666666666666,-52384548.23037367,,,,,,,
19.809825447797742,-0.06348746346500769,2.153841069005387,0.0846405591855533,0.0,3253.2980820271036,39821.20903352792,43,783,34000,0.0003,217734.5,0.05000000074505806,548931072.0,78230.65625,24001,6750.6,-48936498.179203406,,,,,,,
19.9279536175728,0.17643853277663069,1.998476219322776,0.01416766585475582,0.0,2439.1075436210153,21102.93482989389,42,848,36000,0.0003,240495.375,0.05000000074505806,863762048.0,108956.8984375,26001,5848.833333333333,-48079348.150595665,,,,,,,
17.33910298645496,-0.052877851265131996,2.0168353354143393,0.051263771559039405,0.0,3224.627510995246,38807.70800628558,41,912,38000,0.0003,327084.40625,0.05000000074505806,1826358528.0,222196.0625,28001,4713.0,-47007438.70152138,,,,,,,
5.891458879113206,0.3291929113136302,0.3131878245675553,-0.903325911756088,0.0,1059.5984971324438,-312.3896231254852,40,977,40000,0.0003,407094.53125,0.05000000074505806,2597101568.0,361121.09375,30001,4713.0,-47007438.70152138,,,,,,,
6.22274718880653,0.5425475851074758,-0.06307462243024761,-0.8128737735827223,0.0,891.0793635716241,72.26090428667148,40,1041,42000,0.0003,533707.0,0.05000000074505806,7084770816.0,481154.78125,32001,4713.0,-47007438.70152138,,,,,,,
5.799808100461958,0.27109307054110426,-0.1841565379519851,-0.9327733734779908,0.0,1085.3085666356658,165.95096796986513,39,1105,44000,0.0003,615806.125,0.05000000074505806,12892559360.0,634340.1875,34001,4713.0,-47007438.70152138,,,,,,,
3.4062104284763337,0.17707605248027275,0.01650368841581729,-0.9675266201517306,0.0,1133.7341788172055,-9.690439791727501,39,1168,46000,0.0003,663645.375,0.05000000074505806,20885217280.0,888704.1875,36001,4713.0,-47007438.70152138,,,,,,,
1.7905275160074245,0.13174099967188116,-0.11896424795285085,-0.9713875703305295,0.0,1145.3075956048879,41.67459459448577,38,1231,48000,0.0003,744323.875,0.05000000074505806,39517712384.0,1484807.25,38001,4713.0,-47007438.70152138,,,,,,,
-1.3429688739776593,-0.10055669482265667,-0.1538119869580201,-0.9750073849484386,0.0,1154.7355027603267,-37.24338818535859,38,1293,50000,0.0003,897749.75,0.05000000074505806,41184829440.0,1322675.625,40001,4713.0,-47007438.70152138,,,,,,,
-6.257483010888102,-0.3124171263734948,-0.18343121847055494,-0.92383391127529,0.0,1071.0207548129054,-171.78462979122403,38,1356,52000,0.0003,1570465.125,0.05000000074505806,238282670080.0,3056336.5,42001,4713.0,-47007438.70152138,,,,,,,
-9.68356695771217,-0.4045638914333758,-0.46848319553075296,-0.6089608214562585,0.0,754.3020494387177,-219.8412277414541,38,1419,54000,0.0003,1817535.125,0.05000000074505806,455407435776.0,5021204.0,44001,4713.0,-47007438.70152138,,,,,,,
17.578557997345946,0.7411900291233663,0.03821253090126467,-0.5809500773037601,0.0,929.0187382594798,-50.15242453276935,37,1482,56000,0.0003,2372585.0,0.05000000074505806,432412196864.0,3164411.5,46001,4713.0,-47007438.70152138,,,,,,,
5.801775857806199,-0.41158756543355873,0.5888956645604554,-0.19376814007925036,0.0,338.2932854087154,-523.1488531404652,37,1545,58000,0.0003,4529787.0,0.05000000074505806,1139393953792.0,7345010.5,48001,4713.0,-47007438.70152138,,,,,,,
11.048671060800556,0.16818287989164074,0.4682934639338024,0.02215200435629921,0.0,149.61067932259508,1.1876184608524445,37,1608,60000,0.0003,4091320.75,0.05000000074505806,1862065455104.0,12096234.0,50001,4713.0,-47007438.70152138,,,,,,,
14.387073221802712,0.41782361691210157,-0.2772381318031782,0.14755133086400152,0.0,362.75135871138707,169.4639055593533,37,1672,62000,0.0003,6756193.5,0.05000000074505806,5481432088576.0,16252854.0,52001,4713.0,-47007438.70152138,,,,,,,
-1.9098686271905894,0.2791822093847518,0.1672297933254379,-0.34931213985027354,0.0,212.10543918374023,-155.06016302166663,36,1735,64000,0.0003,8471739.0,0.05000000074505806,7646553309184.0,25025488.0,54001,4713.0,-47007438.70152138,,,,,,,
-0.9786553281545639,0.06263452657958699,-0.2694650936371784,-0.3202305962075277,0.0,158.3023201239995,-52.403102020641526,36,1799,66000,0.0003,10049020.0,0.05000000074505806,13612552814592.0,26929936.0,56001,4713.0,-47007438.70152138,,,,,,,
2.1241584968566904,-0.09220019679091913,0.1017619666973206,-0.30154211748523874,0.0,123.5568457340127,21.568391554788555,36,1864,68000,0.0003,10150685.0,0.05000000074505806,14178045657088.0,34015684.0,58001,4713.0,-47007438.70152138,,,,,,,
13.594595265388504,0.2693725902018041,0.22909733625159406,-0.12625134448049774,0.0,121.57091804986548,-63.34146513660828,36,1928,70000,0.0003,6585617.5,0.05000000074505806,8204262047744.0,26065564.0,60001,4713.0,-47007438.70152138,,,,,,,
-5.7296769201755495,0.355855634537389,-0.10769457472854711,-0.08322429584509414,0.0,62.134879011391945,-45.679425055162135,36,1994,72000,0.0003,11592611.0,0.05000000074505806,17708590563328.0,42430008.0,62001,4713.0,-47007438.70152138,,,,,,,
-1.702856570482253,0.041240207612950726,-0.255159927591343,-0.005949712288067235,0.0,28.831024621600427,17.37014382228771,35,2060,74000,0.0003,10195616.0,0.05000000074505806,24140484444160.0,49881816.0,64001,4713.0,-47007438.70152138,,,,,,,
-12.351880595684056,-0.2702684553080179,0.051732558220055035,-0.0035437488391534214,0.0,233.29314070825794,59.07332153690808,35,2125,76000,0.0003,14770859.0,0.05000000074505806,10846375772160.0,23371382.0,66001,4713.0,-47007438.70152138,,,,,,,
2.439249776005746,-0.04819707256177126,0.12929397601575066,-0.39912488193473783,0.0,278.44480756100495,49.09336952496898,35,2191,78000,0.0003,18010420.0,0.05000000074505806,59260138422272.0,58248784.0,68001,8633.777777777777,-44294115.62444356,,,,,,,
4.449073879718782,0.24399546169890182,0.22017805841407895,-0.9522521056727987,0.0,1128.6904505727543,-171.8954769964017,35,2257,80000,0.0003,16880924.0,0.05000000074505806,21893163778048.0,40562220.0,70001,8633.777777777777,-44294115.62444356,,,,,,,
8.825858658552159,0.5223396717359718,0.18320165169965763,-0.8291394103131833,0.0,924.7339423600906,-219.30441326414297,35,2323,82000,0.0003,15626172.0,0.05000000074505806,24957320953856.0,35048292.0,72001,8633.777777777777,-44294115.62444356,,,,,,,
7.528801157474516,0.696341374322164,0.008045525262943613,-0.7329514655332307,0.0,794.1650606572017,-2.022591715228352,35,2390,84000,0.0003,20968358.0,0.05000000074505806,84859259191296.0,84402896.0,74001,8633.777777777777,-44294115.62444356,,,,,,,
10.986007959842675,0.6324055548538041,-0.013351474010382051,-0.7748255012766527,0.0,843.137552599532,15.492638687402652,35,2456,86000,0.0003,18244472.0,0.05000000074505806,18870257582080.0,23484738.0,76001,8633.777777777777,-44294115.62444356,,,,,,,
8.691726421117812,0.7414378787944321,0.11199377486220767,-0.7022318300227269,0.0,765.4060964909753,-100.10522213131988,34,2523,88000,0.0003,29717858.0,0.05000000074505806,98226237603840.0,79989136.0,78001,8633.777777777777,-44294115.62444356,,,,,,,
8.45898470282555,0.7489743221206161,-0.10210162324897538,-0.6973556492146602,0.0,759.436279449768,86.79411398036724,34,2590,90000,0.0003,28632974.0,0.05000000074505806,145270574678016.0,104872856.0,80001,8633.777777777777,-44294115.62444356,,,,,,,
11.659700968265541,0.6605152803621048,0.04249637814786219,-0.7543948390660645,0.0,818.5435226520764,-49.661898309958566,34,2657,92000,0.0003,19509406.0,0.05000000074505806,66163140722688.0,71096024.0,82001,8633.777777777777,-44294115.62444356,,,,,,,
5.969092510938644,0.8187307574821756,0.08084961459871919,-0.6530966446722546,0.0,720.8122744828686,-57.626340248693026,34,2725,94000,0.0003,35813884.0,0.05000000074505806,341291120459776.0,122719360.0,84001,8633.777777777777,-44294115.62444356,,,,,,,
9.557890679240217,0.7330736072662519,-0.14230322861773806,-0.6982158214805685,0.0,758.939937607152,119.53620961118962,34,2792,96000,0.0003,33144888.0,0.05000000074505806,324760462426112.0,133957232.0,86001,8633.777777777777,-44294115.62444356,,,,,,,
11.995342344045643,0.6685550660312827,0.09756593688277489,-0.739945024199586,0.0,801.0827134618412,-111.70901127660099,34,2860,98000,0.0003,39021668.0,0.05000000074505806,273424698048512.0,133590456.0,88001,8633.777777777777,-44294115.62444356,,,,,,,
1.9984757506847364,0.8847898343693795,0.07877127933165197,-0.6100130885813357,0.0,691.7472369191091,-37.99192348972338,,,100000,0.0003,27843682.0,0.05000000074505806,243722079961088.0,163892800.0,90000,,,0.0,0.0,40000.0,-36863.69196706549,3854.4257618528563,0.0,0.0
