rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
-0.043434168031563254,0.025083762206939513,-0.12367192780202467,-0.9666819712872258,0.0,1178.992703126436,11.812855509736556,2093,0,2000,0.0003,,,,,,,,,,,,,,
-0.22709800355078202,-0.03541809056807101,0.04985064705988795,-0.9559915465386374,0.0,1173.9704228917974,97.2101078914028,2116,1,4000,0.0003,,,,,,,,,,,,,,
0.11313019442255615,0.06435111471706324,0.17216946636549857,-0.9467160617587862,0.0,1181.0932821516062,98.49299962332852,2135,2,6000,0.0003,,,,,,,,,,,,,,
-0.10788264802191463,-0.043039979195436416,0.07371335254339836,-0.9201222792356392,0.0,1217.3785005194898,-242.15892647439884,2143,3,8000,0.0003,,,,,,,,,,,,,,
0.1474166343062098,-0.08232561910636056,-0.11328239962272349,-0.9208027196785744,0.0,1241.0700900802913,484.5870227499278,1458,6,10000,0.0003,-0.06095770746469498,0.05000000074505806,724143.25,6.208348274230957,1,,,,,,,,,
4.982849602103229,-0.09294071536925795,0.7053522894671587,-0.14020423857771286,0.0,2369.8387007316046,22136.23484048331,169,70,12000,0.0003,-528296.0625,0.05000000074505806,5530731520.0,172057.4375,2001,11258.0,6615548.533219,,,,,,,
-20.0,0.06123043164147769,-2.1708365339048346,0.1963314390499583,0.0,3273.844782998988,41615.01998958521,102,136,14000,0.0003,-4575685.0,0.05000000074505806,1055977242624.0,3999729.0,4001,4635.333333333333,2605017.5968896667,,,,,,,
-20.0,-0.22488840905841526,-2.00883402353574,-0.04049049898559876,0.0,2471.6797531008483,20324.865065090835,78,203,16000,0.0003,-14138432.0,0.05000000074505806,7300721934336.0,10231539.0,6001,3794.75,2092202.0334802503,,,,,,,
-20.0,0.09059845459887943,-2.1594093328269786,0.16644159193633473,0.0,3306.767869482979,43123.63507870425,66,269,18000,0.0003,-33165578.0,0.05000000074505806,33209603588096.0,22920696.0,8001,2973.6666666666665,1598334.146203667,,,,,,,
-20.0,-0.21348134754820652,-2.012105637191413,-0.05172473254413065,0.0,2452.731744713313,19316.87370008025,59,335,20000,0.0003,-64149540.0,0.05000000074505806,141237885599744.0,41166068.0,10001,2734.714285714286,1452063.8390170003,,,,,,,
-20.0,0.07702531229807746,-2.154587074807513,0.14448920243148303,0.0,3279.0208916032616,42029.60631007257,54,402,22000,0.0003,-105656432.0,0.05000000074505806,243746742468608.0,58523332.0,12001,2421.0,1262638.8390394445,,,,,,,
-20.0,-0.2218735478333351,-1.9650263855281476,-0.0018254531051399606,0.0,2414.1953878982695,21579.232560373926,51,468,24000,0.0003,-154888896.0,0.05000000074505806,577550627635200.0,85394968.0,14001,2313.0,1198822.8843644,,,,,,,
